# Force βfL, Rxyy^2, Persistence Length λ
8.4697e-02,    7.8123e-02,    6.2500e-02
8.5481e-02,    7.8123e-02,    6.2500e-02
8.6272e-02,    7.8123e-02,    6.2500e-02
8.7071e-02,    7.8123e-02,    6.2500e-02
8.7877e-02,    7.8123e-02,    6.2500e-02
8.8691e-02,    7.8123e-02,    6.2500e-02
8.9512e-02,    7.8123e-02,    6.2500e-02
9.0341e-02,    7.8123e-02,    6.2500e-02
9.1177e-02,    7.8123e-02,    6.2500e-02
9.2021e-02,    7.8123e-02,    6.2500e-02
9.2873e-02,    7.8123e-02,    6.2500e-02
9.3733e-02,    7.8123e-02,    6.2500e-02
9.4601e-02,    7.8123e-02,    6.2500e-02
9.5477e-02,    7.8123e-02,    6.2500e-02
9.6361e-02,    7.8123e-02,    6.2500e-02
9.7253e-02,    7.8123e-02,    6.2500e-02
9.8154e-02,    7.8123e-02,    6.2500e-02
9.9062e-02,    7.8123e-02,    6.2500e-02
9.9980e-02,    7.8123e-02,    6.2500e-02
1.0091e-01,    7.8123e-02,    6.2500e-02
1.0184e-01,    7.8123e-02,    6.2500e-02
1.0278e-01,    7.8123e-02,    6.2500e-02
1.0373e-01,    7.8123e-02,    6.2500e-02
1.0469e-01,    7.8123e-02,    6.2500e-02
1.0566e-01,    7.8123e-02,    6.2500e-02
1.0664e-01,    7.8123e-02,    6.2500e-02
1.0763e-01,    7.8123e-02,    6.2500e-02
1.0863e-01,    7.8123e-02,    6.2500e-02
1.0963e-01,    7.8123e-02,    6.2500e-02
1.1065e-01,    7.8123e-02,    6.2500e-02
1.1167e-01,    7.8123e-02,    6.2500e-02
1.1271e-01,    7.8123e-02,    6.2500e-02
1.1375e-01,    7.8123e-02,    6.2500e-02
1.1480e-01,    7.8123e-02,    6.2500e-02
1.1586e-01,    7.8123e-02,    6.2500e-02
1.1694e-01,    7.8122e-02,    6.2500e-02
1.1802e-01,    7.8122e-02,    6.2500e-02
1.1911e-01,    7.8122e-02,    6.2500e-02
1.2022e-01,    7.8122e-02,    6.2500e-02
1.2133e-01,    7.8122e-02,    6.2500e-02
1.2245e-01,    7.8122e-02,    6.2500e-02
1.2359e-01,    7.8122e-02,    6.2500e-02
1.2473e-01,    7.8122e-02,    6.2500e-02
1.2589e-01,    7.8122e-02,    6.2500e-02
1.2705e-01,    7.8122e-02,    6.2500e-02
1.2823e-01,    7.8122e-02,    6.2500e-02
1.2941e-01,    7.8122e-02,    6.2500e-02
1.3061e-01,    7.8122e-02,    6.2500e-02
1.3182e-01,    7.8122e-02,    6.2500e-02
1.3304e-01,    7.8122e-02,    6.2500e-02
1.3427e-01,    7.8122e-02,    6.2500e-02
1.3552e-01,    7.8122e-02,    6.2500e-02
1.3677e-01,    7.8122e-02,    6.2500e-02
1.3804e-01,    7.8122e-02,    6.2500e-02
1.3932e-01,    7.8122e-02,    6.2500e-02
1.4061e-01,    7.8122e-02,    6.2500e-02
1.4191e-01,    7.8122e-02,    6.2500e-02
1.4322e-01,    7.8122e-02,    6.2500e-02
1.4455e-01,    7.8122e-02,    6.2500e-02
1.4589e-01,    7.8121e-02,    6.2500e-02
1.4724e-01,    7.8121e-02,    6.2500e-02
1.4860e-01,    7.8121e-02,    6.2500e-02
1.4998e-01,    7.8121e-02,    6.2500e-02
1.5136e-01,    7.8121e-02,    6.2500e-02
1.5277e-01,    7.8121e-02,    6.2500e-02
1.5418e-01,    7.8121e-02,    6.2500e-02
1.5561e-01,    7.8121e-02,    6.2500e-02
1.5705e-01,    7.8121e-02,    6.2500e-02
1.5850e-01,    7.8121e-02,    6.2500e-02
1.5997e-01,    7.8121e-02,    6.2500e-02
1.6145e-01,    7.8121e-02,    6.2500e-02
1.6295e-01,    7.8121e-02,    6.2500e-02
1.6445e-01,    7.8121e-02,    6.2500e-02
1.6598e-01,    7.8121e-02,    6.2500e-02
1.6751e-01,    7.8121e-02,    6.2500e-02
1.6907e-01,    7.8121e-02,    6.2500e-02
1.7063e-01,    7.8120e-02,    6.2500e-02
1.7221e-01,    7.8120e-02,    6.2500e-02
1.7380e-01,    7.8120e-02,    6.2500e-02
1.7541e-01,    7.8120e-02,    6.2500e-02
1.7704e-01,    7.8120e-02,    6.2500e-02
1.7868e-01,    7.8120e-02,    6.2500e-02
1.8033e-01,    7.8120e-02,    6.2500e-02
1.8200e-01,    7.8120e-02,    6.2500e-02
1.8369e-01,    7.8120e-02,    6.2500e-02
1.8539e-01,    7.8120e-02,    6.2500e-02
1.8710e-01,    7.8120e-02,    6.2500e-02
1.8884e-01,    7.8120e-02,    6.2500e-02
1.9058e-01,    7.8119e-02,    6.2500e-02
1.9235e-01,    7.8119e-02,    6.2500e-02
1.9413e-01,    7.8119e-02,    6.2500e-02
1.9593e-01,    7.8119e-02,    6.2500e-02
1.9774e-01,    7.8119e-02,    6.2500e-02
1.9957e-01,    7.8119e-02,    6.2500e-02
2.0142e-01,    7.8119e-02,    6.2500e-02
2.0328e-01,    7.8119e-02,    6.2500e-02
2.0517e-01,    7.8119e-02,    6.2500e-02
2.0707e-01,    7.8119e-02,    6.2500e-02
2.0898e-01,    7.8118e-02,    6.2500e-02
2.1092e-01,    7.8118e-02,    6.2500e-02
2.1287e-01,    7.8118e-02,    6.2500e-02
2.1484e-01,    7.8118e-02,    6.2500e-02
2.1683e-01,    7.8118e-02,    6.2500e-02
2.1884e-01,    7.8118e-02,    6.2500e-02
2.2086e-01,    7.8118e-02,    6.2500e-02
2.2291e-01,    7.8118e-02,    6.2500e-02
2.2497e-01,    7.8118e-02,    6.2500e-02
2.2706e-01,    7.8117e-02,    6.2500e-02
2.2916e-01,    7.8117e-02,    6.2500e-02
2.3128e-01,    7.8117e-02,    6.2500e-02
2.3342e-01,    7.8117e-02,    6.2500e-02
2.3558e-01,    7.8117e-02,    6.2500e-02
2.3776e-01,    7.8117e-02,    6.2500e-02
2.3997e-01,    7.8117e-02,    6.2500e-02
2.4219e-01,    7.8116e-02,    6.2500e-02
2.4443e-01,    7.8116e-02,    6.2500e-02
2.4669e-01,    7.8116e-02,    6.2500e-02
2.4898e-01,    7.8116e-02,    6.2500e-02
2.5128e-01,    7.8116e-02,    6.2500e-02
2.5361e-01,    7.8116e-02,    6.2500e-02
2.5596e-01,    7.8116e-02,    6.2500e-02
2.5833e-01,    7.8115e-02,    6.2500e-02
2.6072e-01,    7.8115e-02,    6.2500e-02
2.6313e-01,    7.8115e-02,    6.2500e-02
2.6557e-01,    7.8115e-02,    6.2500e-02
2.6803e-01,    7.8115e-02,    6.2500e-02
2.7051e-01,    7.8115e-02,    6.2500e-02
2.7301e-01,    7.8114e-02,    6.2500e-02
2.7554e-01,    7.8114e-02,    6.2500e-02
2.7809e-01,    7.8114e-02,    6.2500e-02
2.8067e-01,    7.8114e-02,    6.2500e-02
2.8327e-01,    7.8114e-02,    6.2500e-02
2.8589e-01,    7.8113e-02,    6.2500e-02
2.8854e-01,    7.8113e-02,    6.2500e-02
2.9121e-01,    7.8113e-02,    6.2500e-02
2.9390e-01,    7.8113e-02,    6.2500e-02
2.9662e-01,    7.8113e-02,    6.2500e-02
2.9937e-01,    7.8112e-02,    6.2500e-02
3.0214e-01,    7.8112e-02,    6.2500e-02
3.0494e-01,    7.8112e-02,    6.2500e-02
3.0776e-01,    7.8112e-02,    6.2500e-02
3.1061e-01,    7.8111e-02,    6.2500e-02
3.1349e-01,    7.8111e-02,    6.2500e-02
3.1639e-01,    7.8111e-02,    6.2500e-02
3.1932e-01,    7.8111e-02,    6.2500e-02
3.2228e-01,    7.8110e-02,    6.2500e-02
3.2526e-01,    7.8110e-02,    6.2500e-02
3.2827e-01,    7.8110e-02,    6.2500e-02
3.3131e-01,    7.8110e-02,    6.2500e-02
3.3438e-01,    7.8109e-02,    6.2500e-02
3.3748e-01,    7.8109e-02,    6.2500e-02
3.4060e-01,    7.8109e-02,    6.2500e-02
3.4375e-01,    7.8109e-02,    6.2500e-02
3.4694e-01,    7.8108e-02,    6.2500e-02
3.5015e-01,    7.8108e-02,    6.2500e-02
3.5339e-01,    7.8108e-02,    6.2500e-02
3.5666e-01,    7.8107e-02,    6.2500e-02
3.5996e-01,    7.8107e-02,    6.2500e-02
3.6330e-01,    7.8107e-02,    6.2500e-02
3.6666e-01,    7.8106e-02,    6.2500e-02
3.7006e-01,    7.8106e-02,    6.2500e-02
3.7348e-01,    7.8106e-02,    6.2500e-02
3.7694e-01,    7.8105e-02,    6.2500e-02
3.8043e-01,    7.8105e-02,    6.2500e-02
3.8395e-01,    7.8105e-02,    6.2500e-02
3.8751e-01,    7.8104e-02,    6.2500e-02
3.9109e-01,    7.8104e-02,    6.2500e-02
3.9472e-01,    7.8104e-02,    6.2500e-02
3.9837e-01,    7.8103e-02,    6.2500e-02
4.0206e-01,    7.8103e-02,    6.2500e-02
4.0578e-01,    7.8102e-02,    6.2500e-02
4.0954e-01,    7.8102e-02,    6.2500e-02
4.1333e-01,    7.8101e-02,    6.2500e-02
4.1716e-01,    7.8101e-02,    6.2500e-02
4.2102e-01,    7.8101e-02,    6.2500e-02
4.2492e-01,    7.8100e-02,    6.2500e-02
4.2885e-01,    7.8100e-02,    6.2500e-02
4.3282e-01,    7.8099e-02,    6.2500e-02
4.3683e-01,    7.8099e-02,    6.2500e-02
4.4087e-01,    7.8098e-02,    6.2500e-02
4.4496e-01,    7.8098e-02,    6.2500e-02
4.4908e-01,    7.8097e-02,    6.2500e-02
4.5323e-01,    7.8097e-02,    6.2500e-02
4.5743e-01,    7.8096e-02,    6.2500e-02
4.6167e-01,    7.8096e-02,    6.2500e-02
4.6594e-01,    7.8095e-02,    6.2500e-02
4.7025e-01,    7.8095e-02,    6.2500e-02
4.7461e-01,    7.8094e-02,    6.2500e-02
4.7900e-01,    7.8094e-02,    6.2500e-02
4.8344e-01,    7.8093e-02,    6.2500e-02
4.8791e-01,    7.8093e-02,    6.2500e-02
4.9243e-01,    7.8092e-02,    6.2500e-02
4.9699e-01,    7.8091e-02,    6.2500e-02
5.0159e-01,    7.8091e-02,    6.2500e-02
5.0623e-01,    7.8090e-02,    6.2500e-02
5.1092e-01,    7.8089e-02,    6.2500e-02
5.1565e-01,    7.8089e-02,    6.2500e-02
5.2043e-01,    7.8088e-02,    6.2500e-02
5.2525e-01,    7.8087e-02,    6.2500e-02
5.3011e-01,    7.8087e-02,    6.2500e-02
5.3502e-01,    7.8086e-02,    6.2500e-02
5.3997e-01,    7.8085e-02,    6.2500e-02
5.4497e-01,    7.8085e-02,    6.2500e-02
5.5001e-01,    7.8084e-02,    6.2500e-02
