# Force βfL, Rxyy^2, Persistence Length λ
1.0343e-02,    6.3973e-01,    8.0000e+00
1.0439e-02,    6.3973e-01,    8.0000e+00
1.0536e-02,    6.3973e-01,    8.0000e+00
1.0633e-02,    6.3973e-01,    8.0000e+00
1.0732e-02,    6.3973e-01,    8.0000e+00
1.0831e-02,    6.3973e-01,    8.0000e+00
1.0931e-02,    6.3973e-01,    8.0000e+00
1.1032e-02,    6.3973e-01,    8.0000e+00
1.1135e-02,    6.3973e-01,    8.0000e+00
1.1238e-02,    6.3973e-01,    8.0000e+00
1.1342e-02,    6.3973e-01,    8.0000e+00
1.1447e-02,    6.3973e-01,    8.0000e+00
1.1553e-02,    6.3973e-01,    8.0000e+00
1.1660e-02,    6.3973e-01,    8.0000e+00
1.1768e-02,    6.3973e-01,    8.0000e+00
1.1877e-02,    6.3973e-01,    8.0000e+00
1.1987e-02,    6.3973e-01,    8.0000e+00
1.2098e-02,    6.3973e-01,    8.0000e+00
1.2210e-02,    6.3973e-01,    8.0000e+00
1.2323e-02,    6.3973e-01,    8.0000e+00
1.2437e-02,    6.3973e-01,    8.0000e+00
1.2552e-02,    6.3972e-01,    8.0000e+00
1.2668e-02,    6.3972e-01,    8.0000e+00
1.2785e-02,    6.3972e-01,    8.0000e+00
1.2904e-02,    6.3972e-01,    8.0000e+00
1.3023e-02,    6.3972e-01,    8.0000e+00
1.3144e-02,    6.3972e-01,    8.0000e+00
1.3266e-02,    6.3972e-01,    8.0000e+00
1.3388e-02,    6.3972e-01,    8.0000e+00
1.3512e-02,    6.3972e-01,    8.0000e+00
1.3637e-02,    6.3972e-01,    8.0000e+00
1.3764e-02,    6.3972e-01,    8.0000e+00
1.3891e-02,    6.3972e-01,    8.0000e+00
1.4020e-02,    6.3972e-01,    8.0000e+00
1.4150e-02,    6.3972e-01,    8.0000e+00
1.4281e-02,    6.3972e-01,    8.0000e+00
1.4413e-02,    6.3972e-01,    8.0000e+00
1.4546e-02,    6.3972e-01,    8.0000e+00
1.4681e-02,    6.3972e-01,    8.0000e+00
1.4817e-02,    6.3972e-01,    8.0000e+00
1.4954e-02,    6.3972e-01,    8.0000e+00
1.5092e-02,    6.3972e-01,    8.0000e+00
1.5232e-02,    6.3972e-01,    8.0000e+00
1.5373e-02,    6.3972e-01,    8.0000e+00
1.5516e-02,    6.3972e-01,    8.0000e+00
1.5659e-02,    6.3972e-01,    8.0000e+00
1.5804e-02,    6.3972e-01,    8.0000e+00
1.5950e-02,    6.3972e-01,    8.0000e+00
1.6098e-02,    6.3972e-01,    8.0000e+00
1.6247e-02,    6.3972e-01,    8.0000e+00
1.6398e-02,    6.3972e-01,    8.0000e+00
1.6549e-02,    6.3972e-01,    8.0000e+00
1.6703e-02,    6.3972e-01,    8.0000e+00
1.6857e-02,    6.3972e-01,    8.0000e+00
1.7013e-02,    6.3972e-01,    8.0000e+00
1.7171e-02,    6.3972e-01,    8.0000e+00
1.7330e-02,    6.3972e-01,    8.0000e+00
1.7490e-02,    6.3972e-01,    8.0000e+00
1.7652e-02,    6.3972e-01,    8.0000e+00
1.7816e-02,    6.3972e-01,    8.0000e+00
1.7981e-02,    6.3972e-01,    8.0000e+00
1.8147e-02,    6.3972e-01,    8.0000e+00
1.8315e-02,    6.3972e-01,    8.0000e+00
1.8485e-02,    6.3972e-01,    8.0000e+00
1.8656e-02,    6.3972e-01,    8.0000e+00
1.8829e-02,    6.3972e-01,    8.0000e+00
1.9003e-02,    6.3972e-01,    8.0000e+00
1.9179e-02,    6.3972e-01,    8.0000e+00
1.9356e-02,    6.3972e-01,    8.0000e+00
1.9536e-02,    6.3972e-01,    8.0000e+00
1.9717e-02,    6.3972e-01,    8.0000e+00
1.9899e-02,    6.3972e-01,    8.0000e+00
2.0083e-02,    6.3971e-01,    8.0000e+00
2.0269e-02,    6.3971e-01,    8.0000e+00
2.0457e-02,    6.3971e-01,    8.0000e+00
2.0646e-02,    6.3971e-01,    8.0000e+00
2.0838e-02,    6.3971e-01,    8.0000e+00
2.1030e-02,    6.3971e-01,    8.0000e+00
2.1225e-02,    6.3971e-01,    8.0000e+00
2.1422e-02,    6.3971e-01,    8.0000e+00
2.1620e-02,    6.3971e-01,    8.0000e+00
2.1820e-02,    6.3971e-01,    8.0000e+00
2.2022e-02,    6.3971e-01,    8.0000e+00
2.2226e-02,    6.3971e-01,    8.0000e+00
2.2432e-02,    6.3971e-01,    8.0000e+00
2.2640e-02,    6.3971e-01,    8.0000e+00
2.2849e-02,    6.3971e-01,    8.0000e+00
2.3061e-02,    6.3971e-01,    8.0000e+00
