# Force βfL, Rxyy^2, Persistence Length λ
3.2265e-01,    2.0507e-02,    1.5625e-02
3.2564e-01,    2.0507e-02,    1.5625e-02
3.2866e-01,    2.0507e-02,    1.5625e-02
3.3170e-01,    2.0507e-02,    1.5625e-02
3.3477e-01,    2.0507e-02,    1.5625e-02
3.3787e-01,    2.0507e-02,    1.5625e-02
3.4100e-01,    2.0507e-02,    1.5625e-02
3.4416e-01,    2.0507e-02,    1.5625e-02
3.4734e-01,    2.0507e-02,    1.5625e-02
3.5056e-01,    2.0507e-02,    1.5625e-02
3.5380e-01,    2.0507e-02,    1.5625e-02
3.5708e-01,    2.0507e-02,    1.5625e-02
3.6039e-01,    2.0507e-02,    1.5625e-02
3.6372e-01,    2.0507e-02,    1.5625e-02
3.6709e-01,    2.0507e-02,    1.5625e-02
3.7049e-01,    2.0507e-02,    1.5625e-02
3.7392e-01,    2.0507e-02,    1.5625e-02
3.7738e-01,    2.0507e-02,    1.5625e-02
3.8087e-01,    2.0507e-02,    1.5625e-02
3.8440e-01,    2.0507e-02,    1.5625e-02
3.8796e-01,    2.0507e-02,    1.5625e-02
3.9155e-01,    2.0507e-02,    1.5625e-02
3.9518e-01,    2.0507e-02,    1.5625e-02
3.9884e-01,    2.0507e-02,    1.5625e-02
4.0253e-01,    2.0507e-02,    1.5625e-02
4.0626e-01,    2.0507e-02,    1.5625e-02
4.1002e-01,    2.0507e-02,    1.5625e-02
4.1381e-01,    2.0507e-02,    1.5625e-02
4.1765e-01,    2.0507e-02,    1.5625e-02
4.2151e-01,    2.0507e-02,    1.5625e-02
4.2541e-01,    2.0507e-02,    1.5625e-02
4.2935e-01,    2.0507e-02,    1.5625e-02
4.3333e-01,    2.0507e-02,    1.5625e-02
4.3734e-01,    2.0507e-02,    1.5625e-02
4.4139e-01,    2.0507e-02,    1.5625e-02
4.4548e-01,    2.0507e-02,    1.5625e-02
4.4960e-01,    2.0507e-02,    1.5625e-02
4.5376e-01,    2.0507e-02,    1.5625e-02
4.5797e-01,    2.0507e-02,    1.5625e-02
4.6221e-01,    2.0507e-02,    1.5625e-02
4.6648e-01,    2.0507e-02,    1.5625e-02
4.7080e-01,    2.0507e-02,    1.5625e-02
4.7516e-01,    2.0507e-02,    1.5625e-02
4.7956e-01,    2.0507e-02,    1.5625e-02
4.8400e-01,    2.0507e-02,    1.5625e-02
4.8848e-01,    2.0507e-02,    1.5625e-02
4.9301e-01,    2.0507e-02,    1.5625e-02
4.9757e-01,    2.0507e-02,    1.5625e-02
5.0218e-01,    2.0507e-02,    1.5625e-02
5.0683e-01,    2.0507e-02,    1.5625e-02
5.1152e-01,    2.0507e-02,    1.5625e-02
5.1626e-01,    2.0507e-02,    1.5625e-02
5.2104e-01,    2.0507e-02,    1.5625e-02
5.2586e-01,    2.0507e-02,    1.5625e-02
5.3073e-01,    2.0507e-02,    1.5625e-02
5.3564e-01,    2.0507e-02,    1.5625e-02
5.4060e-01,    2.0507e-02,    1.5625e-02
5.4561e-01,    2.0507e-02,    1.5625e-02
5.5066e-01,    2.0507e-02,    1.5625e-02
5.5576e-01,    2.0507e-02,    1.5625e-02
5.6090e-01,    2.0507e-02,    1.5625e-02
5.6610e-01,    2.0507e-02,    1.5625e-02
5.7134e-01,    2.0507e-02,    1.5625e-02
5.7663e-01,    2.0507e-02,    1.5625e-02
5.8197e-01,    2.0507e-02,    1.5625e-02
5.8735e-01,    2.0507e-02,    1.5625e-02
5.9279e-01,    2.0507e-02,    1.5625e-02
5.9828e-01,    2.0507e-02,    1.5625e-02
6.0382e-01,    2.0507e-02,    1.5625e-02
6.0941e-01,    2.0507e-02,    1.5625e-02
6.1505e-01,    2.0507e-02,    1.5625e-02
6.2075e-01,    2.0507e-02,    1.5625e-02
6.2649e-01,    2.0507e-02,    1.5625e-02
6.3230e-01,    2.0507e-02,    1.5625e-02
6.3815e-01,    2.0507e-02,    1.5625e-02
6.4406e-01,    2.0507e-02,    1.5625e-02
6.5002e-01,    2.0507e-02,    1.5625e-02
6.5604e-01,    2.0507e-02,    1.5625e-02
6.6211e-01,    2.0507e-02,    1.5625e-02
6.6824e-01,    2.0507e-02,    1.5625e-02
6.7443e-01,    2.0507e-02,    1.5625e-02
6.8068e-01,    2.0507e-02,    1.5625e-02
6.8698e-01,    2.0507e-02,    1.5625e-02
6.9334e-01,    2.0506e-02,    1.5625e-02
6.9976e-01,    2.0506e-02,    1.5625e-02
7.0624e-01,    2.0506e-02,    1.5625e-02
7.1278e-01,    2.0506e-02,    1.5625e-02
7.1937e-01,    2.0506e-02,    1.5625e-02
7.2603e-01,    2.0506e-02,    1.5625e-02
7.3276e-01,    2.0506e-02,    1.5625e-02
7.3954e-01,    2.0506e-02,    1.5625e-02
7.4639e-01,    2.0506e-02,    1.5625e-02
7.5330e-01,    2.0506e-02,    1.5625e-02
7.6027e-01,    2.0506e-02,    1.5625e-02
7.6731e-01,    2.0506e-02,    1.5625e-02
7.7442e-01,    2.0506e-02,    1.5625e-02
7.8159e-01,    2.0506e-02,    1.5625e-02
7.8882e-01,    2.0506e-02,    1.5625e-02
7.9613e-01,    2.0506e-02,    1.5625e-02
8.0350e-01,    2.0506e-02,    1.5625e-02
8.1094e-01,    2.0506e-02,    1.5625e-02
8.1845e-01,    2.0506e-02,    1.5625e-02
8.2602e-01,    2.0506e-02,    1.5625e-02
8.3367e-01,    2.0506e-02,    1.5625e-02
8.4139e-01,    2.0506e-02,    1.5625e-02
8.4918e-01,    2.0506e-02,    1.5625e-02
8.5704e-01,    2.0506e-02,    1.5625e-02
8.6498e-01,    2.0506e-02,    1.5625e-02
8.7299e-01,    2.0506e-02,    1.5625e-02
8.8107e-01,    2.0506e-02,    1.5625e-02
8.8923e-01,    2.0506e-02,    1.5625e-02
8.9746e-01,    2.0506e-02,    1.5625e-02
9.0577e-01,    2.0506e-02,    1.5625e-02
9.1416e-01,    2.0506e-02,    1.5625e-02
9.2262e-01,    2.0506e-02,    1.5625e-02
9.3116e-01,    2.0506e-02,    1.5625e-02
9.3978e-01,    2.0506e-02,    1.5625e-02
9.4848e-01,    2.0505e-02,    1.5625e-02
9.5727e-01,    2.0505e-02,    1.5625e-02
9.6613e-01,    2.0505e-02,    1.5625e-02
9.7507e-01,    2.0505e-02,    1.5625e-02
9.8410e-01,    2.0505e-02,    1.5625e-02
9.9321e-01,    2.0505e-02,    1.5625e-02
1.0024e+00,    2.0505e-02,    1.5625e-02
1.0117e+00,    2.0505e-02,    1.5625e-02
1.0211e+00,    2.0505e-02,    1.5625e-02
1.0305e+00,    2.0505e-02,    1.5625e-02
1.0401e+00,    2.0505e-02,    1.5625e-02
1.0497e+00,    2.0505e-02,    1.5625e-02
1.0594e+00,    2.0505e-02,    1.5625e-02
1.0692e+00,    2.0505e-02,    1.5625e-02
1.0791e+00,    2.0505e-02,    1.5625e-02
1.0891e+00,    2.0505e-02,    1.5625e-02
1.0992e+00,    2.0505e-02,    1.5625e-02
1.1094e+00,    2.0505e-02,    1.5625e-02
1.1196e+00,    2.0505e-02,    1.5625e-02
1.1300e+00,    2.0505e-02,    1.5625e-02
1.1405e+00,    2.0505e-02,    1.5625e-02
1.1510e+00,    2.0504e-02,    1.5625e-02
1.1617e+00,    2.0504e-02,    1.5625e-02
1.1724e+00,    2.0504e-02,    1.5625e-02
1.1833e+00,    2.0504e-02,    1.5625e-02
1.1942e+00,    2.0504e-02,    1.5625e-02
1.2053e+00,    2.0504e-02,    1.5625e-02
1.2165e+00,    2.0504e-02,    1.5625e-02
1.2277e+00,    2.0504e-02,    1.5625e-02
1.2391e+00,    2.0504e-02,    1.5625e-02
1.2506e+00,    2.0504e-02,    1.5625e-02
1.2621e+00,    2.0504e-02,    1.5625e-02
1.2738e+00,    2.0504e-02,    1.5625e-02
1.2856e+00,    2.0504e-02,    1.5625e-02
1.2975e+00,    2.0504e-02,    1.5625e-02
1.3095e+00,    2.0504e-02,    1.5625e-02
1.3217e+00,    2.0503e-02,    1.5625e-02
1.3339e+00,    2.0503e-02,    1.5625e-02
1.3462e+00,    2.0503e-02,    1.5625e-02
1.3587e+00,    2.0503e-02,    1.5625e-02
1.3713e+00,    2.0503e-02,    1.5625e-02
1.3840e+00,    2.0503e-02,    1.5625e-02
1.3968e+00,    2.0503e-02,    1.5625e-02
1.4097e+00,    2.0503e-02,    1.5625e-02
1.4228e+00,    2.0503e-02,    1.5625e-02
1.4360e+00,    2.0503e-02,    1.5625e-02
1.4493e+00,    2.0503e-02,    1.5625e-02
1.4627e+00,    2.0503e-02,    1.5625e-02
1.4762e+00,    2.0502e-02,    1.5625e-02
1.4899e+00,    2.0502e-02,    1.5625e-02
1.5037e+00,    2.0502e-02,    1.5625e-02
1.5176e+00,    2.0502e-02,    1.5625e-02
1.5317e+00,    2.0502e-02,    1.5625e-02
1.5458e+00,    2.0502e-02,    1.5625e-02
1.5601e+00,    2.0502e-02,    1.5625e-02
1.5746e+00,    2.0502e-02,    1.5625e-02
1.5892e+00,    2.0502e-02,    1.5625e-02
1.6039e+00,    2.0501e-02,    1.5625e-02
1.6187e+00,    2.0501e-02,    1.5625e-02
1.6337e+00,    2.0501e-02,    1.5625e-02
1.6488e+00,    2.0501e-02,    1.5625e-02
1.6641e+00,    2.0501e-02,    1.5625e-02
1.6795e+00,    2.0501e-02,    1.5625e-02
1.6951e+00,    2.0501e-02,    1.5625e-02
1.7108e+00,    2.0501e-02,    1.5625e-02
1.7266e+00,    2.0501e-02,    1.5625e-02
1.7426e+00,    2.0500e-02,    1.5625e-02
1.7587e+00,    2.0500e-02,    1.5625e-02
1.7750e+00,    2.0500e-02,    1.5625e-02
1.7914e+00,    2.0500e-02,    1.5625e-02
1.8080e+00,    2.0500e-02,    1.5625e-02
1.8248e+00,    2.0500e-02,    1.5625e-02
1.8417e+00,    2.0500e-02,    1.5625e-02
1.8587e+00,    2.0499e-02,    1.5625e-02
1.8759e+00,    2.0499e-02,    1.5625e-02
1.8933e+00,    2.0499e-02,    1.5625e-02
1.9108e+00,    2.0499e-02,    1.5625e-02
1.9285e+00,    2.0499e-02,    1.5625e-02
