# Force βfL, Rxyy^2, Persistence Length λ
2.6307e-02,    2.5152e-01,    2.5000e-01
2.6551e-02,    2.5152e-01,    2.5000e-01
2.6797e-02,    2.5152e-01,    2.5000e-01
2.7045e-02,    2.5152e-01,    2.5000e-01
2.7295e-02,    2.5152e-01,    2.5000e-01
2.7548e-02,    2.5152e-01,    2.5000e-01
2.7803e-02,    2.5152e-01,    2.5000e-01
2.8060e-02,    2.5152e-01,    2.5000e-01
2.8320e-02,    2.5152e-01,    2.5000e-01
2.8582e-02,    2.5152e-01,    2.5000e-01
2.8847e-02,    2.5152e-01,    2.5000e-01
2.9114e-02,    2.5152e-01,    2.5000e-01
2.9383e-02,    2.5152e-01,    2.5000e-01
2.9656e-02,    2.5152e-01,    2.5000e-01
2.9930e-02,    2.5152e-01,    2.5000e-01
3.0207e-02,    2.5152e-01,    2.5000e-01
3.0487e-02,    2.5152e-01,    2.5000e-01
3.0769e-02,    2.5152e-01,    2.5000e-01
3.1054e-02,    2.5152e-01,    2.5000e-01
3.1342e-02,    2.5152e-01,    2.5000e-01
3.1632e-02,    2.5152e-01,    2.5000e-01
3.1925e-02,    2.5152e-01,    2.5000e-01
3.2220e-02,    2.5152e-01,    2.5000e-01
3.2519e-02,    2.5152e-01,    2.5000e-01
3.2820e-02,    2.5152e-01,    2.5000e-01
3.3123e-02,    2.5152e-01,    2.5000e-01
3.3430e-02,    2.5152e-01,    2.5000e-01
3.3740e-02,    2.5152e-01,    2.5000e-01
3.4052e-02,    2.5152e-01,    2.5000e-01
3.4367e-02,    2.5152e-01,    2.5000e-01
3.4686e-02,    2.5152e-01,    2.5000e-01
3.5007e-02,    2.5152e-01,    2.5000e-01
3.5331e-02,    2.5152e-01,    2.5000e-01
3.5658e-02,    2.5152e-01,    2.5000e-01
3.5988e-02,    2.5152e-01,    2.5000e-01
3.6321e-02,    2.5152e-01,    2.5000e-01
3.6658e-02,    2.5152e-01,    2.5000e-01
3.6997e-02,    2.5152e-01,    2.5000e-01
3.7339e-02,    2.5152e-01,    2.5000e-01
3.7685e-02,    2.5152e-01,    2.5000e-01
3.8034e-02,    2.5152e-01,    2.5000e-01
3.8386e-02,    2.5152e-01,    2.5000e-01
3.8742e-02,    2.5152e-01,    2.5000e-01
3.9100e-02,    2.5152e-01,    2.5000e-01
3.9462e-02,    2.5152e-01,    2.5000e-01
3.9828e-02,    2.5152e-01,    2.5000e-01
4.0197e-02,    2.5152e-01,    2.5000e-01
4.0569e-02,    2.5152e-01,    2.5000e-01
4.0944e-02,    2.5152e-01,    2.5000e-01
4.1323e-02,    2.5152e-01,    2.5000e-01
4.1706e-02,    2.5152e-01,    2.5000e-01
4.2092e-02,    2.5152e-01,    2.5000e-01
4.2482e-02,    2.5152e-01,    2.5000e-01
4.2875e-02,    2.5152e-01,    2.5000e-01
4.3272e-02,    2.5152e-01,    2.5000e-01
4.3673e-02,    2.5152e-01,    2.5000e-01
4.4077e-02,    2.5152e-01,    2.5000e-01
4.4485e-02,    2.5152e-01,    2.5000e-01
4.4897e-02,    2.5152e-01,    2.5000e-01
4.5313e-02,    2.5152e-01,    2.5000e-01
4.5732e-02,    2.5152e-01,    2.5000e-01
4.6156e-02,    2.5152e-01,    2.5000e-01
4.6583e-02,    2.5152e-01,    2.5000e-01
4.7014e-02,    2.5152e-01,    2.5000e-01
4.7450e-02,    2.5151e-01,    2.5000e-01
4.7889e-02,    2.5151e-01,    2.5000e-01
4.8332e-02,    2.5151e-01,    2.5000e-01
4.8780e-02,    2.5151e-01,    2.5000e-01
4.9232e-02,    2.5151e-01,    2.5000e-01
4.9687e-02,    2.5151e-01,    2.5000e-01
5.0147e-02,    2.5151e-01,    2.5000e-01
5.0612e-02,    2.5151e-01,    2.5000e-01
5.1080e-02,    2.5151e-01,    2.5000e-01
5.1553e-02,    2.5151e-01,    2.5000e-01
5.2031e-02,    2.5151e-01,    2.5000e-01
5.2512e-02,    2.5151e-01,    2.5000e-01
5.2998e-02,    2.5151e-01,    2.5000e-01
5.3489e-02,    2.5151e-01,    2.5000e-01
5.3984e-02,    2.5151e-01,    2.5000e-01
5.4484e-02,    2.5151e-01,    2.5000e-01
5.4989e-02,    2.5151e-01,    2.5000e-01
5.5498e-02,    2.5151e-01,    2.5000e-01
5.6012e-02,    2.5151e-01,    2.5000e-01
5.6530e-02,    2.5151e-01,    2.5000e-01
5.7054e-02,    2.5151e-01,    2.5000e-01
5.7582e-02,    2.5151e-01,    2.5000e-01
5.8115e-02,    2.5151e-01,    2.5000e-01
5.8653e-02,    2.5151e-01,    2.5000e-01
5.9196e-02,    2.5151e-01,    2.5000e-01
5.9744e-02,    2.5151e-01,    2.5000e-01
6.0297e-02,    2.5151e-01,    2.5000e-01
6.0856e-02,    2.5151e-01,    2.5000e-01
6.1419e-02,    2.5151e-01,    2.5000e-01
6.1988e-02,    2.5151e-01,    2.5000e-01
6.2562e-02,    2.5151e-01,    2.5000e-01
6.3141e-02,    2.5151e-01,    2.5000e-01
6.3726e-02,    2.5151e-01,    2.5000e-01
6.4316e-02,    2.5151e-01,    2.5000e-01
6.4911e-02,    2.5151e-01,    2.5000e-01
6.5512e-02,    2.5151e-01,    2.5000e-01
6.6119e-02,    2.5151e-01,    2.5000e-01
6.6731e-02,    2.5151e-01,    2.5000e-01
6.7349e-02,    2.5151e-01,    2.5000e-01
6.7972e-02,    2.5151e-01,    2.5000e-01
6.8601e-02,    2.5150e-01,    2.5000e-01
6.9237e-02,    2.5150e-01,    2.5000e-01
6.9878e-02,    2.5150e-01,    2.5000e-01
7.0525e-02,    2.5150e-01,    2.5000e-01
7.1178e-02,    2.5150e-01,    2.5000e-01
7.1837e-02,    2.5150e-01,    2.5000e-01
7.2502e-02,    2.5150e-01,    2.5000e-01
7.3173e-02,    2.5150e-01,    2.5000e-01
7.3851e-02,    2.5150e-01,    2.5000e-01
7.4534e-02,    2.5150e-01,    2.5000e-01
7.5224e-02,    2.5150e-01,    2.5000e-01
7.5921e-02,    2.5150e-01,    2.5000e-01
7.6624e-02,    2.5150e-01,    2.5000e-01
7.7333e-02,    2.5150e-01,    2.5000e-01
7.8049e-02,    2.5150e-01,    2.5000e-01
7.8772e-02,    2.5150e-01,    2.5000e-01
7.9501e-02,    2.5150e-01,    2.5000e-01
8.0237e-02,    2.5150e-01,    2.5000e-01
8.0980e-02,    2.5150e-01,    2.5000e-01
8.1730e-02,    2.5150e-01,    2.5000e-01
8.2487e-02,    2.5150e-01,    2.5000e-01
8.3250e-02,    2.5150e-01,    2.5000e-01
8.4021e-02,    2.5149e-01,    2.5000e-01
8.4799e-02,    2.5149e-01,    2.5000e-01
8.5584e-02,    2.5149e-01,    2.5000e-01
8.6377e-02,    2.5149e-01,    2.5000e-01
8.7176e-02,    2.5149e-01,    2.5000e-01
8.7983e-02,    2.5149e-01,    2.5000e-01
8.8798e-02,    2.5149e-01,    2.5000e-01
8.9620e-02,    2.5149e-01,    2.5000e-01
9.0450e-02,    2.5149e-01,    2.5000e-01
9.1287e-02,    2.5149e-01,    2.5000e-01
9.2133e-02,    2.5149e-01,    2.5000e-01
9.2986e-02,    2.5149e-01,    2.5000e-01
9.3847e-02,    2.5149e-01,    2.5000e-01
9.4715e-02,    2.5149e-01,    2.5000e-01
9.5592e-02,    2.5149e-01,    2.5000e-01
9.6477e-02,    2.5149e-01,    2.5000e-01
9.7371e-02,    2.5148e-01,    2.5000e-01
9.8272e-02,    2.5148e-01,    2.5000e-01
9.9182e-02,    2.5148e-01,    2.5000e-01
1.0010e-01,    2.5148e-01,    2.5000e-01
1.0103e-01,    2.5148e-01,    2.5000e-01
1.0196e-01,    2.5148e-01,    2.5000e-01
1.0291e-01,    2.5148e-01,    2.5000e-01
1.0386e-01,    2.5148e-01,    2.5000e-01
1.0482e-01,    2.5148e-01,    2.5000e-01
1.0579e-01,    2.5148e-01,    2.5000e-01
