# Force βfL, Rxyy^2, Persistence Length λ
1.6393e-01,    4.0364e-02,    3.1250e-02
1.6545e-01,    4.0364e-02,    3.1250e-02
1.6698e-01,    4.0364e-02,    3.1250e-02
1.6852e-01,    4.0364e-02,    3.1250e-02
1.7009e-01,    4.0364e-02,    3.1250e-02
1.7166e-01,    4.0364e-02,    3.1250e-02
1.7325e-01,    4.0364e-02,    3.1250e-02
1.7485e-01,    4.0364e-02,    3.1250e-02
1.7647e-01,    4.0364e-02,    3.1250e-02
1.7811e-01,    4.0364e-02,    3.1250e-02
1.7976e-01,    4.0364e-02,    3.1250e-02
1.8142e-01,    4.0364e-02,    3.1250e-02
1.8310e-01,    4.0364e-02,    3.1250e-02
1.8479e-01,    4.0364e-02,    3.1250e-02
1.8651e-01,    4.0364e-02,    3.1250e-02
1.8823e-01,    4.0364e-02,    3.1250e-02
1.8997e-01,    4.0364e-02,    3.1250e-02
1.9173e-01,    4.0364e-02,    3.1250e-02
1.9351e-01,    4.0364e-02,    3.1250e-02
1.9530e-01,    4.0364e-02,    3.1250e-02
1.9711e-01,    4.0364e-02,    3.1250e-02
1.9893e-01,    4.0364e-02,    3.1250e-02
2.0078e-01,    4.0363e-02,    3.1250e-02
2.0263e-01,    4.0363e-02,    3.1250e-02
2.0451e-01,    4.0363e-02,    3.1250e-02
2.0640e-01,    4.0363e-02,    3.1250e-02
2.0832e-01,    4.0363e-02,    3.1250e-02
2.1024e-01,    4.0363e-02,    3.1250e-02
2.1219e-01,    4.0363e-02,    3.1250e-02
2.1416e-01,    4.0363e-02,    3.1250e-02
2.1614e-01,    4.0363e-02,    3.1250e-02
2.1814e-01,    4.0363e-02,    3.1250e-02
2.2016e-01,    4.0363e-02,    3.1250e-02
2.2220e-01,    4.0363e-02,    3.1250e-02
2.2425e-01,    4.0363e-02,    3.1250e-02
2.2633e-01,    4.0363e-02,    3.1250e-02
2.2843e-01,    4.0363e-02,    3.1250e-02
2.3054e-01,    4.0363e-02,    3.1250e-02
2.3268e-01,    4.0363e-02,    3.1250e-02
2.3483e-01,    4.0363e-02,    3.1250e-02
2.3700e-01,    4.0363e-02,    3.1250e-02
2.3920e-01,    4.0363e-02,    3.1250e-02
2.4141e-01,    4.0363e-02,    3.1250e-02
2.4365e-01,    4.0363e-02,    3.1250e-02
2.4590e-01,    4.0363e-02,    3.1250e-02
2.4818e-01,    4.0363e-02,    3.1250e-02
2.5048e-01,    4.0363e-02,    3.1250e-02
2.5280e-01,    4.0363e-02,    3.1250e-02
2.5514e-01,    4.0363e-02,    3.1250e-02
2.5750e-01,    4.0363e-02,    3.1250e-02
2.5989e-01,    4.0363e-02,    3.1250e-02
2.6229e-01,    4.0363e-02,    3.1250e-02
2.6472e-01,    4.0363e-02,    3.1250e-02
2.6717e-01,    4.0363e-02,    3.1250e-02
2.6964e-01,    4.0363e-02,    3.1250e-02
2.7214e-01,    4.0363e-02,    3.1250e-02
2.7466e-01,    4.0363e-02,    3.1250e-02
2.7720e-01,    4.0363e-02,    3.1250e-02
2.7977e-01,    4.0363e-02,    3.1250e-02
2.8236e-01,    4.0363e-02,    3.1250e-02
2.8497e-01,    4.0363e-02,    3.1250e-02
2.8761e-01,    4.0363e-02,    3.1250e-02
2.9028e-01,    4.0363e-02,    3.1250e-02
2.9296e-01,    4.0363e-02,    3.1250e-02
2.9568e-01,    4.0363e-02,    3.1250e-02
2.9841e-01,    4.0363e-02,    3.1250e-02
3.0118e-01,    4.0363e-02,    3.1250e-02
3.0397e-01,    4.0363e-02,    3.1250e-02
3.0678e-01,    4.0363e-02,    3.1250e-02
3.0962e-01,    4.0362e-02,    3.1250e-02
3.1249e-01,    4.0362e-02,    3.1250e-02
3.1538e-01,    4.0362e-02,    3.1250e-02
3.1830e-01,    4.0362e-02,    3.1250e-02
3.2125e-01,    4.0362e-02,    3.1250e-02
3.2422e-01,    4.0362e-02,    3.1250e-02
3.2722e-01,    4.0362e-02,    3.1250e-02
3.3025e-01,    4.0362e-02,    3.1250e-02
3.3331e-01,    4.0362e-02,    3.1250e-02
3.3640e-01,    4.0362e-02,    3.1250e-02
3.3951e-01,    4.0362e-02,    3.1250e-02
3.4265e-01,    4.0362e-02,    3.1250e-02
3.4583e-01,    4.0362e-02,    3.1250e-02
3.4903e-01,    4.0362e-02,    3.1250e-02
3.5226e-01,    4.0362e-02,    3.1250e-02
3.5552e-01,    4.0362e-02,    3.1250e-02
3.5881e-01,    4.0362e-02,    3.1250e-02
3.6214e-01,    4.0362e-02,    3.1250e-02
3.6549e-01,    4.0362e-02,    3.1250e-02
3.6887e-01,    4.0362e-02,    3.1250e-02
3.7229e-01,    4.0362e-02,    3.1250e-02
3.7573e-01,    4.0362e-02,    3.1250e-02
3.7921e-01,    4.0362e-02,    3.1250e-02
3.8272e-01,    4.0362e-02,    3.1250e-02
3.8627e-01,    4.0361e-02,    3.1250e-02
3.8984e-01,    4.0361e-02,    3.1250e-02
3.9345e-01,    4.0361e-02,    3.1250e-02
3.9710e-01,    4.0361e-02,    3.1250e-02
4.0077e-01,    4.0361e-02,    3.1250e-02
4.0448e-01,    4.0361e-02,    3.1250e-02
4.0823e-01,    4.0361e-02,    3.1250e-02
4.1201e-01,    4.0361e-02,    3.1250e-02
4.1582e-01,    4.0361e-02,    3.1250e-02
4.1967e-01,    4.0361e-02,    3.1250e-02
4.2356e-01,    4.0361e-02,    3.1250e-02
4.2748e-01,    4.0361e-02,    3.1250e-02
4.3144e-01,    4.0361e-02,    3.1250e-02
4.3543e-01,    4.0361e-02,    3.1250e-02
4.3946e-01,    4.0361e-02,    3.1250e-02
4.4353e-01,    4.0361e-02,    3.1250e-02
4.4764e-01,    4.0361e-02,    3.1250e-02
4.5178e-01,    4.0360e-02,    3.1250e-02
4.5597e-01,    4.0360e-02,    3.1250e-02
4.6019e-01,    4.0360e-02,    3.1250e-02
4.6445e-01,    4.0360e-02,    3.1250e-02
4.6875e-01,    4.0360e-02,    3.1250e-02
4.7309e-01,    4.0360e-02,    3.1250e-02
4.7747e-01,    4.0360e-02,    3.1250e-02
4.8189e-01,    4.0360e-02,    3.1250e-02
4.8635e-01,    4.0360e-02,    3.1250e-02
4.9086e-01,    4.0360e-02,    3.1250e-02
4.9540e-01,    4.0360e-02,    3.1250e-02
4.9999e-01,    4.0360e-02,    3.1250e-02
5.0462e-01,    4.0360e-02,    3.1250e-02
5.0929e-01,    4.0359e-02,    3.1250e-02
5.1400e-01,    4.0359e-02,    3.1250e-02
5.1876e-01,    4.0359e-02,    3.1250e-02
5.2357e-01,    4.0359e-02,    3.1250e-02
5.2841e-01,    4.0359e-02,    3.1250e-02
5.3331e-01,    4.0359e-02,    3.1250e-02
5.3824e-01,    4.0359e-02,    3.1250e-02
5.4323e-01,    4.0359e-02,    3.1250e-02
5.4826e-01,    4.0359e-02,    3.1250e-02
5.5333e-01,    4.0359e-02,    3.1250e-02
5.5846e-01,    4.0359e-02,    3.1250e-02
5.6363e-01,    4.0358e-02,    3.1250e-02
5.6885e-01,    4.0358e-02,    3.1250e-02
5.7411e-01,    4.0358e-02,    3.1250e-02
5.7943e-01,    4.0358e-02,    3.1250e-02
5.8479e-01,    4.0358e-02,    3.1250e-02
5.9021e-01,    4.0358e-02,    3.1250e-02
5.9567e-01,    4.0358e-02,    3.1250e-02
6.0119e-01,    4.0358e-02,    3.1250e-02
6.0675e-01,    4.0357e-02,    3.1250e-02
6.1237e-01,    4.0357e-02,    3.1250e-02
6.1804e-01,    4.0357e-02,    3.1250e-02
6.2376e-01,    4.0357e-02,    3.1250e-02
6.2954e-01,    4.0357e-02,    3.1250e-02
6.3537e-01,    4.0357e-02,    3.1250e-02
6.4125e-01,    4.0357e-02,    3.1250e-02
6.4719e-01,    4.0357e-02,    3.1250e-02
6.5318e-01,    4.0356e-02,    3.1250e-02
6.5923e-01,    4.0356e-02,    3.1250e-02
6.6533e-01,    4.0356e-02,    3.1250e-02
6.7149e-01,    4.0356e-02,    3.1250e-02
6.7771e-01,    4.0356e-02,    3.1250e-02
6.8398e-01,    4.0356e-02,    3.1250e-02
6.9031e-01,    4.0356e-02,    3.1250e-02
6.9671e-01,    4.0355e-02,    3.1250e-02
7.0316e-01,    4.0355e-02,    3.1250e-02
7.0967e-01,    4.0355e-02,    3.1250e-02
7.1624e-01,    4.0355e-02,    3.1250e-02
7.2287e-01,    4.0355e-02,    3.1250e-02
7.2956e-01,    4.0354e-02,    3.1250e-02
7.3632e-01,    4.0354e-02,    3.1250e-02
7.4313e-01,    4.0354e-02,    3.1250e-02
7.5001e-01,    4.0354e-02,    3.1250e-02
7.5696e-01,    4.0354e-02,    3.1250e-02
7.6397e-01,    4.0354e-02,    3.1250e-02
7.7104e-01,    4.0353e-02,    3.1250e-02
7.7818e-01,    4.0353e-02,    3.1250e-02
7.8538e-01,    4.0353e-02,    3.1250e-02
7.9265e-01,    4.0353e-02,    3.1250e-02
7.9999e-01,    4.0353e-02,    3.1250e-02
8.0740e-01,    4.0352e-02,    3.1250e-02
8.1488e-01,    4.0352e-02,    3.1250e-02
8.2242e-01,    4.0352e-02,    3.1250e-02
8.3004e-01,    4.0352e-02,    3.1250e-02
8.3772e-01,    4.0351e-02,    3.1250e-02
8.4548e-01,    4.0351e-02,    3.1250e-02
8.5330e-01,    4.0351e-02,    3.1250e-02
8.6120e-01,    4.0351e-02,    3.1250e-02
8.6918e-01,    4.0350e-02,    3.1250e-02
8.7723e-01,    4.0350e-02,    3.1250e-02
8.8535e-01,    4.0350e-02,    3.1250e-02
8.9355e-01,    4.0350e-02,    3.1250e-02
9.0182e-01,    4.0349e-02,    3.1250e-02
9.1017e-01,    4.0349e-02,    3.1250e-02
9.1859e-01,    4.0349e-02,    3.1250e-02
9.2710e-01,    4.0349e-02,    3.1250e-02
9.3568e-01,    4.0348e-02,    3.1250e-02
9.4435e-01,    4.0348e-02,    3.1250e-02
9.5309e-01,    4.0348e-02,    3.1250e-02
9.6191e-01,    4.0347e-02,    3.1250e-02
9.7082e-01,    4.0347e-02,    3.1250e-02
9.7981e-01,    4.0347e-02,    3.1250e-02
9.8888e-01,    4.0346e-02,    3.1250e-02
9.9804e-01,    4.0346e-02,    3.1250e-02
1.0073e+00,    4.0346e-02,    3.1250e-02
1.0166e+00,    4.0345e-02,    3.1250e-02
1.0260e+00,    4.0345e-02,    3.1250e-02
1.0355e+00,    4.0345e-02,    3.1250e-02
1.0451e+00,    4.0344e-02,    3.1250e-02
1.0548e+00,    4.0344e-02,    3.1250e-02
1.0645e+00,    4.0344e-02,    3.1250e-02
1.0744e+00,    4.0343e-02,    3.1250e-02
1.0843e+00,    4.0343e-02,    3.1250e-02
