# Force βfL, Rxyy^2, Persistence Length λ
1.3490e-02,    4.9050e-01,    1.0000e+00
1.3615e-02,    4.9050e-01,    1.0000e+00
1.3741e-02,    4.9050e-01,    1.0000e+00
1.3868e-02,    4.9050e-01,    1.0000e+00
1.3997e-02,    4.9050e-01,    1.0000e+00
1.4126e-02,    4.9050e-01,    1.0000e+00
1.4257e-02,    4.9050e-01,    1.0000e+00
1.4389e-02,    4.9050e-01,    1.0000e+00
1.4522e-02,    4.9050e-01,    1.0000e+00
1.4657e-02,    4.9050e-01,    1.0000e+00
1.4792e-02,    4.9050e-01,    1.0000e+00
1.4929e-02,    4.9050e-01,    1.0000e+00
1.5068e-02,    4.9050e-01,    1.0000e+00
1.5207e-02,    4.9050e-01,    1.0000e+00
1.5348e-02,    4.9050e-01,    1.0000e+00
1.5490e-02,    4.9050e-01,    1.0000e+00
1.5633e-02,    4.9050e-01,    1.0000e+00
1.5778e-02,    4.9050e-01,    1.0000e+00
1.5924e-02,    4.9050e-01,    1.0000e+00
1.6072e-02,    4.9050e-01,    1.0000e+00
1.6220e-02,    4.9050e-01,    1.0000e+00
1.6371e-02,    4.9050e-01,    1.0000e+00
1.6522e-02,    4.9050e-01,    1.0000e+00
1.6675e-02,    4.9050e-01,    1.0000e+00
1.6830e-02,    4.9050e-01,    1.0000e+00
1.6985e-02,    4.9050e-01,    1.0000e+00
1.7143e-02,    4.9050e-01,    1.0000e+00
1.7301e-02,    4.9050e-01,    1.0000e+00
1.7462e-02,    4.9050e-01,    1.0000e+00
1.7623e-02,    4.9050e-01,    1.0000e+00
1.7786e-02,    4.9050e-01,    1.0000e+00
1.7951e-02,    4.9050e-01,    1.0000e+00
1.8117e-02,    4.9049e-01,    1.0000e+00
1.8285e-02,    4.9049e-01,    1.0000e+00
1.8454e-02,    4.9049e-01,    1.0000e+00
1.8625e-02,    4.9049e-01,    1.0000e+00
1.8798e-02,    4.9049e-01,    1.0000e+00
1.8972e-02,    4.9049e-01,    1.0000e+00
1.9147e-02,    4.9049e-01,    1.0000e+00
1.9325e-02,    4.9049e-01,    1.0000e+00
1.9503e-02,    4.9049e-01,    1.0000e+00
1.9684e-02,    4.9049e-01,    1.0000e+00
1.9866e-02,    4.9049e-01,    1.0000e+00
2.0050e-02,    4.9049e-01,    1.0000e+00
2.0236e-02,    4.9049e-01,    1.0000e+00
2.0423e-02,    4.9049e-01,    1.0000e+00
2.0612e-02,    4.9049e-01,    1.0000e+00
2.0803e-02,    4.9049e-01,    1.0000e+00
