# Force βfλ, Rxy^2
5.5618e-02,    6.6565e-01
5.6133e-02,    6.6564e-01
5.6653e-02,    6.6562e-01
5.7177e-02,    6.6560e-01
5.7707e-02,    6.6558e-01
5.8241e-02,    6.6556e-01
5.8780e-02,    6.6554e-01
5.9324e-02,    6.6552e-01
5.9874e-02,    6.6549e-01
6.0428e-02,    6.6547e-01
6.0987e-02,    6.6545e-01
6.1552e-02,    6.6543e-01
6.2122e-02,    6.6541e-01
6.2697e-02,    6.6538e-01
6.3278e-02,    6.6536e-01
6.3864e-02,    6.6533e-01
6.4455e-02,    6.6531e-01
6.5052e-02,    6.6529e-01
6.5654e-02,    6.6526e-01
6.6262e-02,    6.6523e-01
6.6875e-02,    6.6521e-01
6.7494e-02,    6.6518e-01
6.8119e-02,    6.6515e-01
6.8750e-02,    6.6513e-01
6.9387e-02,    6.6510e-01
7.0029e-02,    6.6507e-01
7.0677e-02,    6.6504e-01
7.1332e-02,    6.6501e-01
7.1992e-02,    6.6498e-01
7.2659e-02,    6.6495e-01
7.3332e-02,    6.6491e-01
7.4010e-02,    6.6488e-01
7.4696e-02,    6.6485e-01
7.5387e-02,    6.6482e-01
7.6085e-02,    6.6478e-01
7.6790e-02,    6.6475e-01
7.7501e-02,    6.6471e-01
7.8218e-02,    6.6468e-01
7.8942e-02,    6.6464e-01
7.9673e-02,    6.6460e-01
8.0411e-02,    6.6456e-01
8.1156e-02,    6.6452e-01
8.1907e-02,    6.6448e-01
8.2665e-02,    6.6444e-01
8.3431e-02,    6.6440e-01
8.4203e-02,    6.6436e-01
8.4983e-02,    6.6432e-01
8.5770e-02,    6.6428e-01
8.6564e-02,    6.6423e-01
8.7365e-02,    6.6419e-01
8.8174e-02,    6.6414e-01
8.8990e-02,    6.6410e-01
8.9814e-02,    6.6405e-01
9.0646e-02,    6.6400e-01
9.1485e-02,    6.6395e-01
9.2332e-02,    6.6390e-01
9.3187e-02,    6.6385e-01
9.4050e-02,    6.6380e-01
9.4921e-02,    6.6374e-01
9.5800e-02,    6.6369e-01
9.6687e-02,    6.6364e-01
9.7582e-02,    6.6358e-01
9.8485e-02,    6.6352e-01
9.9397e-02,    6.6347e-01
1.0032e-01,    6.6341e-01
1.0125e-01,    6.6335e-01
1.0218e-01,    6.6329e-01
1.0313e-01,    6.6322e-01
1.0408e-01,    6.6316e-01
1.0505e-01,    6.6310e-01
1.0602e-01,    6.6303e-01
1.0700e-01,    6.6296e-01
1.0799e-01,    6.6289e-01
1.0899e-01,    6.6282e-01
1.1000e-01,    6.6275e-01
1.1102e-01,    6.6268e-01
1.1205e-01,    6.6261e-01
1.1309e-01,    6.6253e-01
1.1413e-01,    6.6246e-01
1.1519e-01,    6.6238e-01
1.1626e-01,    6.6230e-01
1.1733e-01,    6.6222e-01
1.1842e-01,    6.6214e-01
1.1952e-01,    6.6206e-01
1.2062e-01,    6.6197e-01
1.2174e-01,    6.6189e-01
1.2287e-01,    6.6180e-01
1.2400e-01,    6.6171e-01
1.2515e-01,    6.6162e-01
1.2631e-01,    6.6153e-01
1.2748e-01,    6.6143e-01
1.2866e-01,    6.6134e-01
1.2985e-01,    6.6124e-01
1.3105e-01,    6.6114e-01
1.3227e-01,    6.6104e-01
1.3349e-01,    6.6093e-01
1.3473e-01,    6.6083e-01
1.3597e-01,    6.6072e-01
1.3723e-01,    6.6061e-01
1.3850e-01,    6.6050e-01
1.3979e-01,    6.6039e-01
1.4108e-01,    6.6028e-01
1.4239e-01,    6.6016e-01
1.4371e-01,    6.6004e-01
1.4504e-01,    6.5992e-01
1.4638e-01,    6.5980e-01
1.4773e-01,    6.5967e-01
1.4910e-01,    6.5954e-01
1.5048e-01,    6.5941e-01
1.5188e-01,    6.5928e-01
1.5328e-01,    6.5915e-01
1.5470e-01,    6.5901e-01
1.5613e-01,    6.5887e-01
1.5758e-01,    6.5873e-01
1.5904e-01,    6.5858e-01
1.6051e-01,    6.5843e-01
1.6200e-01,    6.5828e-01
1.6350e-01,    6.5813e-01
1.6501e-01,    6.5798e-01
1.6654e-01,    6.5782e-01
1.6808e-01,    6.5766e-01
1.6964e-01,    6.5749e-01
1.7121e-01,    6.5733e-01
1.7279e-01,    6.5716e-01
1.7439e-01,    6.5699e-01
1.7601e-01,    6.5681e-01
1.7764e-01,    6.5663e-01
1.7928e-01,    6.5645e-01
1.8094e-01,    6.5627e-01
1.8262e-01,    6.5608e-01
1.8431e-01,    6.5589e-01
1.8601e-01,    6.5569e-01
1.8774e-01,    6.5549e-01
1.8947e-01,    6.5529e-01
1.9123e-01,    6.5508e-01
1.9300e-01,    6.5488e-01
1.9479e-01,    6.5466e-01
1.9659e-01,    6.5445e-01
1.9841e-01,    6.5423e-01
2.0025e-01,    6.5400e-01
2.0210e-01,    6.5377e-01
2.0397e-01,    6.5354e-01
2.0586e-01,    6.5331e-01
2.0777e-01,    6.5307e-01
2.0969e-01,    6.5282e-01
2.1163e-01,    6.5257e-01
2.1359e-01,    6.5232e-01
2.1557e-01,    6.5206e-01
2.1756e-01,    6.5180e-01
2.1958e-01,    6.5154e-01
2.2161e-01,    6.5127e-01
2.2366e-01,    6.5099e-01
2.2573e-01,    6.5071e-01
2.2782e-01,    6.5043e-01
2.2993e-01,    6.5014e-01
2.3206e-01,    6.4984e-01
2.3421e-01,    6.4954e-01
2.3638e-01,    6.4924e-01
2.3857e-01,    6.4893e-01
2.4078e-01,    6.4861e-01
2.4301e-01,    6.4829e-01
2.4526e-01,    6.4796e-01
2.4753e-01,    6.4763e-01
2.4982e-01,    6.4730e-01
2.5213e-01,    6.4695e-01
2.5447e-01,    6.4661e-01
2.5682e-01,    6.4625e-01
2.5920e-01,    6.4589e-01
2.6160e-01,    6.4552e-01
2.6402e-01,    6.4515e-01
2.6647e-01,    6.4477e-01
2.6893e-01,    6.4439e-01
2.7142e-01,    6.4400e-01
2.7394e-01,    6.4360e-01
2.7647e-01,    6.4320e-01
2.7903e-01,    6.4278e-01
2.8162e-01,    6.4237e-01
2.8422e-01,    6.4194e-01
2.8685e-01,    6.4151e-01
2.8951e-01,    6.4107e-01
2.9219e-01,    6.4063e-01
2.9490e-01,    6.4017e-01
2.9763e-01,    6.3971e-01
3.0038e-01,    6.3925e-01
3.0316e-01,    6.3877e-01
3.0597e-01,    6.3829e-01
3.0880e-01,    6.3780e-01
3.1166e-01,    6.3730e-01
3.1455e-01,    6.3679e-01
3.1746e-01,    6.3628e-01
3.2040e-01,    6.3576e-01
3.2337e-01,    6.3523e-01
3.2636e-01,    6.3469e-01
3.2938e-01,    6.3414e-01
