# Force βfL, Extension z/L, Persistence Length λ
4.5371e-02,    3.3084e-03,    1.2500e-01
4.5791e-02,    3.3390e-03,    1.2500e-01
4.6215e-02,    3.3699e-03,    1.2500e-01
4.6643e-02,    3.4012e-03,    1.2500e-01
4.7075e-02,    3.4326e-03,    1.2500e-01
4.7511e-02,    3.4644e-03,    1.2500e-01
4.7951e-02,    3.4965e-03,    1.2500e-01
4.8395e-02,    3.5289e-03,    1.2500e-01
4.8843e-02,    3.5616e-03,    1.2500e-01
4.9295e-02,    3.5945e-03,    1.2500e-01
4.9751e-02,    3.6278e-03,    1.2500e-01
5.0212e-02,    3.6614e-03,    1.2500e-01
5.0677e-02,    3.6953e-03,    1.2500e-01
5.1146e-02,    3.7295e-03,    1.2500e-01
5.1620e-02,    3.7640e-03,    1.2500e-01
5.2097e-02,    3.7989e-03,    1.2500e-01
5.2580e-02,    3.8340e-03,    1.2500e-01
5.3067e-02,    3.8696e-03,    1.2500e-01
5.3558e-02,    3.9054e-03,    1.2500e-01
5.4054e-02,    3.9415e-03,    1.2500e-01
5.4554e-02,    3.9780e-03,    1.2500e-01
5.5059e-02,    4.0149e-03,    1.2500e-01
5.5569e-02,    4.0520e-03,    1.2500e-01
5.6084e-02,    4.0895e-03,    1.2500e-01
5.6603e-02,    4.1274e-03,    1.2500e-01
5.7127e-02,    4.1656e-03,    1.2500e-01
5.7656e-02,    4.2042e-03,    1.2500e-01
5.8190e-02,    4.2431e-03,    1.2500e-01
5.8729e-02,    4.2824e-03,    1.2500e-01
5.9272e-02,    4.3220e-03,    1.2500e-01
5.9821e-02,    4.3621e-03,    1.2500e-01
6.0375e-02,    4.4025e-03,    1.2500e-01
6.0934e-02,    4.4432e-03,    1.2500e-01
6.1498e-02,    4.4843e-03,    1.2500e-01
6.2067e-02,    4.5259e-03,    1.2500e-01
6.2642e-02,    4.5678e-03,    1.2500e-01
6.3222e-02,    4.6100e-03,    1.2500e-01
6.3807e-02,    4.6527e-03,    1.2500e-01
6.4398e-02,    4.6958e-03,    1.2500e-01
6.4995e-02,    4.7393e-03,    1.2500e-01
