# Force βfL, Extension z/L, Persistence Length λ
1.7485e-02,    3.3085e-03,    5.0000e-01
1.7646e-02,    3.3391e-03,    5.0000e-01
1.7810e-02,    3.3701e-03,    5.0000e-01
1.7975e-02,    3.4012e-03,    5.0000e-01
1.8141e-02,    3.4326e-03,    5.0000e-01
1.8309e-02,    3.4644e-03,    5.0000e-01
1.8479e-02,    3.4965e-03,    5.0000e-01
1.8650e-02,    3.5289e-03,    5.0000e-01
1.8822e-02,    3.5616e-03,    5.0000e-01
1.8997e-02,    3.5945e-03,    5.0000e-01
1.9173e-02,    3.6278e-03,    5.0000e-01
1.9350e-02,    3.6614e-03,    5.0000e-01
1.9529e-02,    3.6953e-03,    5.0000e-01
1.9710e-02,    3.7295e-03,    5.0000e-01
1.9892e-02,    3.7641e-03,    5.0000e-01
2.0077e-02,    3.7989e-03,    5.0000e-01
2.0263e-02,    3.8340e-03,    5.0000e-01
2.0450e-02,    3.8696e-03,    5.0000e-01
2.0639e-02,    3.9054e-03,    5.0000e-01
2.0831e-02,    3.9415e-03,    5.0000e-01
2.1023e-02,    3.9781e-03,    5.0000e-01
2.1218e-02,    4.0150e-03,    5.0000e-01
2.1415e-02,    4.0520e-03,    5.0000e-01
2.1613e-02,    4.0895e-03,    5.0000e-01
2.1813e-02,    4.1275e-03,    5.0000e-01
2.2015e-02,    4.1657e-03,    5.0000e-01
2.2219e-02,    4.2041e-03,    5.0000e-01
2.2424e-02,    4.2430e-03,    5.0000e-01
2.2632e-02,    4.2824e-03,    5.0000e-01
2.2842e-02,    4.3221e-03,    5.0000e-01
2.3053e-02,    4.3621e-03,    5.0000e-01
2.3267e-02,    4.4025e-03,    5.0000e-01
2.3482e-02,    4.4432e-03,    5.0000e-01
2.3699e-02,    4.4843e-03,    5.0000e-01
2.3919e-02,    4.5259e-03,    5.0000e-01
2.4140e-02,    4.5678e-03,    5.0000e-01
2.4364e-02,    4.6101e-03,    5.0000e-01
2.4589e-02,    4.6528e-03,    5.0000e-01
2.4817e-02,    4.6959e-03,    5.0000e-01
2.5047e-02,    4.7393e-03,    5.0000e-01
2.5279e-02,    4.7831e-03,    5.0000e-01
2.5513e-02,    4.8275e-03,    5.0000e-01
2.5749e-02,    4.8722e-03,    5.0000e-01
2.5987e-02,    4.9173e-03,    5.0000e-01
2.6228e-02,    4.9628e-03,    5.0000e-01
2.6471e-02,    5.0087e-03,    5.0000e-01
2.6716e-02,    5.0551e-03,    5.0000e-01
2.6963e-02,    5.1019e-03,    5.0000e-01
2.7213e-02,    5.1491e-03,    5.0000e-01
2.7465e-02,    5.1969e-03,    5.0000e-01
2.7719e-02,    5.2449e-03,    5.0000e-01
2.7976e-02,    5.2935e-03,    5.0000e-01
2.8235e-02,    5.3425e-03,    5.0000e-01
2.8496e-02,    5.3919e-03,    5.0000e-01
2.8760e-02,    5.4419e-03,    5.0000e-01
2.9026e-02,    5.4923e-03,    5.0000e-01
2.9295e-02,    5.5431e-03,    5.0000e-01
2.9566e-02,    5.5944e-03,    5.0000e-01
2.9840e-02,    5.6463e-03,    5.0000e-01
3.0116e-02,    5.6985e-03,    5.0000e-01
3.0395e-02,    5.7512e-03,    5.0000e-01
3.0677e-02,    5.8045e-03,    5.0000e-01
3.0961e-02,    5.8582e-03,    5.0000e-01
3.1247e-02,    5.9125e-03,    5.0000e-01
3.1537e-02,    5.9672e-03,    5.0000e-01
3.1829e-02,    6.0224e-03,    5.0000e-01
3.2123e-02,    6.0782e-03,    5.0000e-01
3.2421e-02,    6.1345e-03,    5.0000e-01
3.2721e-02,    6.1913e-03,    5.0000e-01
3.3024e-02,    6.2486e-03,    5.0000e-01
3.3330e-02,    6.3064e-03,    5.0000e-01
3.3638e-02,    6.3648e-03,    5.0000e-01
3.3950e-02,    6.4238e-03,    5.0000e-01
3.4264e-02,    6.4832e-03,    5.0000e-01
3.4581e-02,    6.5433e-03,    5.0000e-01
3.4901e-02,    6.6039e-03,    5.0000e-01
3.5224e-02,    6.6650e-03,    5.0000e-01
3.5551e-02,    6.7267e-03,    5.0000e-01
3.5880e-02,    6.7889e-03,    5.0000e-01
3.6212e-02,    6.8518e-03,    5.0000e-01
3.6547e-02,    6.9153e-03,    5.0000e-01
3.6886e-02,    6.9793e-03,    5.0000e-01
3.7227e-02,    7.0438e-03,    5.0000e-01
3.7572e-02,    7.1091e-03,    5.0000e-01
