# Force βfL, Extension z/L, Persistence Length λ
3.2265e-01,    3.3084e-03,    1.5625e-02
3.2564e-01,    3.3390e-03,    1.5625e-02
3.2866e-01,    3.3700e-03,    1.5625e-02
3.3170e-01,    3.4011e-03,    1.5625e-02
3.3477e-01,    3.4326e-03,    1.5625e-02
3.3787e-01,    3.4644e-03,    1.5625e-02
3.4100e-01,    3.4965e-03,    1.5625e-02
3.4416e-01,    3.5289e-03,    1.5625e-02
3.4734e-01,    3.5616e-03,    1.5625e-02
3.5056e-01,    3.5945e-03,    1.5625e-02
3.5380e-01,    3.6278e-03,    1.5625e-02
3.5708e-01,    3.6614e-03,    1.5625e-02
3.6039e-01,    3.6953e-03,    1.5625e-02
3.6372e-01,    3.7295e-03,    1.5625e-02
3.6709e-01,    3.7640e-03,    1.5625e-02
3.7049e-01,    3.7989e-03,    1.5625e-02
3.7392e-01,    3.8340e-03,    1.5625e-02
3.7738e-01,    3.8695e-03,    1.5625e-02
3.8087e-01,    3.9054e-03,    1.5625e-02
3.8440e-01,    3.9415e-03,    1.5625e-02
3.8796e-01,    3.9780e-03,    1.5625e-02
3.9155e-01,    4.0148e-03,    1.5625e-02
3.9518e-01,    4.0520e-03,    1.5625e-02
3.9884e-01,    4.0895e-03,    1.5625e-02
4.0253e-01,    4.1274e-03,    1.5625e-02
4.0626e-01,    4.1656e-03,    1.5625e-02
4.1002e-01,    4.2042e-03,    1.5625e-02
4.1381e-01,    4.2431e-03,    1.5625e-02
4.1765e-01,    4.2824e-03,    1.5625e-02
4.2151e-01,    4.3220e-03,    1.5625e-02
4.2541e-01,    4.3620e-03,    1.5625e-02
4.2935e-01,    4.4024e-03,    1.5625e-02
4.3333e-01,    4.4432e-03,    1.5625e-02
4.3734e-01,    4.4843e-03,    1.5625e-02
4.4139e-01,    4.5259e-03,    1.5625e-02
4.4548e-01,    4.5678e-03,    1.5625e-02
4.4960e-01,    4.6100e-03,    1.5625e-02
4.5376e-01,    4.6527e-03,    1.5625e-02
4.5797e-01,    4.6958e-03,    1.5625e-02
4.6221e-01,    4.7393e-03,    1.5625e-02
4.6648e-01,    4.7832e-03,    1.5625e-02
4.7080e-01,    4.8274e-03,    1.5625e-02
4.7516e-01,    4.8721e-03,    1.5625e-02
4.7956e-01,    4.9172e-03,    1.5625e-02
4.8400e-01,    4.9628e-03,    1.5625e-02
4.8848e-01,    5.0087e-03,    1.5625e-02
4.9301e-01,    5.0551e-03,    1.5625e-02
4.9757e-01,    5.1019e-03,    1.5625e-02
5.0218e-01,    5.1491e-03,    1.5625e-02
5.0683e-01,    5.1968e-03,    1.5625e-02
5.1152e-01,    5.2449e-03,    1.5625e-02
5.1626e-01,    5.2934e-03,    1.5625e-02
5.2104e-01,    5.3425e-03,    1.5625e-02
5.2586e-01,    5.3919e-03,    1.5625e-02
5.3073e-01,    5.4418e-03,    1.5625e-02
5.3564e-01,    5.4922e-03,    1.5625e-02
5.4060e-01,    5.5431e-03,    1.5625e-02
5.4561e-01,    5.5944e-03,    1.5625e-02
5.5066e-01,    5.6462e-03,    1.5625e-02
5.5576e-01,    5.6985e-03,    1.5625e-02
5.6090e-01,    5.7512e-03,    1.5625e-02
5.6610e-01,    5.8044e-03,    1.5625e-02
5.7134e-01,    5.8582e-03,    1.5625e-02
5.7663e-01,    5.9124e-03,    1.5625e-02
5.8197e-01,    5.9672e-03,    1.5625e-02
5.8735e-01,    6.0224e-03,    1.5625e-02
5.9279e-01,    6.0782e-03,    1.5625e-02
5.9828e-01,    6.1344e-03,    1.5625e-02
6.0382e-01,    6.1912e-03,    1.5625e-02
6.0941e-01,    6.2485e-03,    1.5625e-02
6.1505e-01,    6.3064e-03,    1.5625e-02
6.2075e-01,    6.3648e-03,    1.5625e-02
6.2649e-01,    6.4237e-03,    1.5625e-02
6.3230e-01,    6.4832e-03,    1.5625e-02
6.3815e-01,    6.5432e-03,    1.5625e-02
6.4406e-01,    6.6038e-03,    1.5625e-02
6.5002e-01,    6.6649e-03,    1.5625e-02
6.5604e-01,    6.7266e-03,    1.5625e-02
6.6211e-01,    6.7889e-03,    1.5625e-02
6.6824e-01,    6.8517e-03,    1.5625e-02
6.7443e-01,    6.9152e-03,    1.5625e-02
6.8068e-01,    6.9792e-03,    1.5625e-02
6.8698e-01,    7.0438e-03,    1.5625e-02
6.9334e-01,    7.1090e-03,    1.5625e-02
6.9976e-01,    7.1748e-03,    1.5625e-02
7.0624e-01,    7.2412e-03,    1.5625e-02
7.1278e-01,    7.3083e-03,    1.5625e-02
7.1937e-01,    7.3759e-03,    1.5625e-02
7.2603e-01,    7.4442e-03,    1.5625e-02
7.3276e-01,    7.5131e-03,    1.5625e-02
7.3954e-01,    7.5827e-03,    1.5625e-02
7.4639e-01,    7.6529e-03,    1.5625e-02
7.5330e-01,    7.7237e-03,    1.5625e-02
7.6027e-01,    7.7952e-03,    1.5625e-02
7.6731e-01,    7.8674e-03,    1.5625e-02
7.7442e-01,    7.9402e-03,    1.5625e-02
7.8159e-01,    8.0137e-03,    1.5625e-02
7.8882e-01,    8.0879e-03,    1.5625e-02
7.9613e-01,    8.1628e-03,    1.5625e-02
