# Force βfL, Extension z/L, Persistence Length λ
1.3490e-02,    3.3084e-03,    1.0000e+00
1.3615e-02,    3.3391e-03,    1.0000e+00
1.3741e-02,    3.3701e-03,    1.0000e+00
1.3868e-02,    3.4012e-03,    1.0000e+00
1.3997e-02,    3.4326e-03,    1.0000e+00
1.4126e-02,    3.4644e-03,    1.0000e+00
1.4257e-02,    3.4965e-03,    1.0000e+00
1.4389e-02,    3.5289e-03,    1.0000e+00
1.4522e-02,    3.5616e-03,    1.0000e+00
1.4657e-02,    3.5945e-03,    1.0000e+00
1.4792e-02,    3.6279e-03,    1.0000e+00
1.4929e-02,    3.6614e-03,    1.0000e+00
1.5068e-02,    3.6953e-03,    1.0000e+00
1.5207e-02,    3.7295e-03,    1.0000e+00
1.5348e-02,    3.7641e-03,    1.0000e+00
1.5490e-02,    3.7989e-03,    1.0000e+00
1.5633e-02,    3.8341e-03,    1.0000e+00
1.5778e-02,    3.8697e-03,    1.0000e+00
1.5924e-02,    3.9053e-03,    1.0000e+00
1.6072e-02,    3.9415e-03,    1.0000e+00
1.6220e-02,    3.9781e-03,    1.0000e+00
1.6371e-02,    4.0149e-03,    1.0000e+00
1.6522e-02,    4.0521e-03,    1.0000e+00
1.6675e-02,    4.0895e-03,    1.0000e+00
1.6830e-02,    4.1274e-03,    1.0000e+00
1.6985e-02,    4.1657e-03,    1.0000e+00
1.7143e-02,    4.2043e-03,    1.0000e+00
1.7301e-02,    4.2431e-03,    1.0000e+00
1.7462e-02,    4.2824e-03,    1.0000e+00
1.7623e-02,    4.3221e-03,    1.0000e+00
1.7786e-02,    4.3622e-03,    1.0000e+00
1.7951e-02,    4.4025e-03,    1.0000e+00
1.8117e-02,    4.4432e-03,    1.0000e+00
1.8285e-02,    4.4844e-03,    1.0000e+00
1.8454e-02,    4.5259e-03,    1.0000e+00
1.8625e-02,    4.5677e-03,    1.0000e+00
1.8798e-02,    4.6101e-03,    1.0000e+00
1.8972e-02,    4.6528e-03,    1.0000e+00
1.9147e-02,    4.6959e-03,    1.0000e+00
1.9325e-02,    4.7392e-03,    1.0000e+00
1.9503e-02,    4.7831e-03,    1.0000e+00
1.9684e-02,    4.8275e-03,    1.0000e+00
1.9866e-02,    4.8722e-03,    1.0000e+00
2.0050e-02,    4.9172e-03,    1.0000e+00
2.0236e-02,    4.9628e-03,    1.0000e+00
2.0423e-02,    5.0087e-03,    1.0000e+00
2.0612e-02,    5.0552e-03,    1.0000e+00
2.0803e-02,    5.1020e-03,    1.0000e+00
2.0996e-02,    5.1492e-03,    1.0000e+00
2.1190e-02,    5.1968e-03,    1.0000e+00
2.1386e-02,    5.2449e-03,    1.0000e+00
2.1584e-02,    5.2935e-03,    1.0000e+00
2.1784e-02,    5.3425e-03,    1.0000e+00
2.1986e-02,    5.3920e-03,    1.0000e+00
2.2190e-02,    5.4419e-03,    1.0000e+00
2.2395e-02,    5.4922e-03,    1.0000e+00
2.2602e-02,    5.5431e-03,    1.0000e+00
2.2812e-02,    5.5945e-03,    1.0000e+00
2.3023e-02,    5.6463e-03,    1.0000e+00
2.3236e-02,    5.6985e-03,    1.0000e+00
2.3451e-02,    5.7513e-03,    1.0000e+00
2.3668e-02,    5.8046e-03,    1.0000e+00
2.3887e-02,    5.8583e-03,    1.0000e+00
2.4108e-02,    5.9125e-03,    1.0000e+00
2.4332e-02,    5.9672e-03,    1.0000e+00
2.4557e-02,    6.0225e-03,    1.0000e+00
2.4784e-02,    6.0783e-03,    1.0000e+00
2.5014e-02,    6.1345e-03,    1.0000e+00
2.5245e-02,    6.1913e-03,    1.0000e+00
2.5479e-02,    6.2486e-03,    1.0000e+00
2.5715e-02,    6.3065e-03,    1.0000e+00
2.5953e-02,    6.3648e-03,    1.0000e+00
2.6193e-02,    6.4237e-03,    1.0000e+00
2.6436e-02,    6.4833e-03,    1.0000e+00
2.6681e-02,    6.5433e-03,    1.0000e+00
2.6928e-02,    6.6039e-03,    1.0000e+00
2.7177e-02,    6.6650e-03,    1.0000e+00
2.7429e-02,    6.7267e-03,    1.0000e+00
2.7683e-02,    6.7890e-03,    1.0000e+00
2.7939e-02,    6.8518e-03,    1.0000e+00
2.8198e-02,    6.9152e-03,    1.0000e+00
2.8459e-02,    6.9793e-03,    1.0000e+00
2.8722e-02,    7.0439e-03,    1.0000e+00
2.8988e-02,    7.1091e-03,    1.0000e+00
2.9257e-02,    7.1750e-03,    1.0000e+00
2.9527e-02,    7.2413e-03,    1.0000e+00
2.9801e-02,    7.3084e-03,    1.0000e+00
3.0077e-02,    7.3761e-03,    1.0000e+00
3.0355e-02,    7.4443e-03,    1.0000e+00
3.0636e-02,    7.5132e-03,    1.0000e+00
3.0920e-02,    7.5829e-03,    1.0000e+00
3.1206e-02,    7.6530e-03,    1.0000e+00
3.1495e-02,    7.7239e-03,    1.0000e+00
3.1787e-02,    7.7954e-03,    1.0000e+00
3.2081e-02,    7.8675e-03,    1.0000e+00
3.2378e-02,    7.9404e-03,    1.0000e+00
3.2678e-02,    8.0139e-03,    1.0000e+00
3.2980e-02,    8.0881e-03,    1.0000e+00
3.3286e-02,    8.1630e-03,    1.0000e+00
3.3594e-02,    8.2386e-03,    1.0000e+00
3.3905e-02,    8.3148e-03,    1.0000e+00
3.4219e-02,    8.3917e-03,    1.0000e+00
3.4536e-02,    8.4695e-03,    1.0000e+00
3.4855e-02,    8.5479e-03,    1.0000e+00
3.5178e-02,    8.6270e-03,    1.0000e+00
3.5504e-02,    8.7069e-03,    1.0000e+00
3.5833e-02,    8.7875e-03,    1.0000e+00
3.6164e-02,    8.8689e-03,    1.0000e+00
3.6499e-02,    8.9510e-03,    1.0000e+00
3.6837e-02,    9.0338e-03,    1.0000e+00
3.7178e-02,    9.1174e-03,    1.0000e+00
3.7522e-02,    9.2018e-03,    1.0000e+00
3.7870e-02,    9.2870e-03,    1.0000e+00
3.8220e-02,    9.3730e-03,    1.0000e+00
3.8574e-02,    9.4598e-03,    1.0000e+00
3.8931e-02,    9.5473e-03,    1.0000e+00
3.9292e-02,    9.6358e-03,    1.0000e+00
3.9656e-02,    9.7249e-03,    1.0000e+00
4.0023e-02,    9.8149e-03,    1.0000e+00
4.0393e-02,    9.9058e-03,    1.0000e+00
4.0767e-02,    9.9976e-03,    1.0000e+00
4.1145e-02,    1.0090e-02,    1.0000e+00
4.1526e-02,    1.0183e-02,    1.0000e+00
4.1910e-02,    1.0278e-02,    1.0000e+00
4.2298e-02,    1.0373e-02,    1.0000e+00
4.2690e-02,    1.0469e-02,    1.0000e+00
4.3085e-02,    1.0566e-02,    1.0000e+00
4.3484e-02,    1.0664e-02,    1.0000e+00
