# Force βfL, Extension z/L, Persistence Length λ
1.1646e-02,    3.3084e-03,    2.0000e+00
1.1754e-02,    3.3390e-03,    2.0000e+00
1.1863e-02,    3.3700e-03,    2.0000e+00
1.1973e-02,    3.4013e-03,    2.0000e+00
1.2084e-02,    3.4326e-03,    2.0000e+00
1.2195e-02,    3.4644e-03,    2.0000e+00
1.2308e-02,    3.4966e-03,    2.0000e+00
1.2422e-02,    3.5289e-03,    2.0000e+00
1.2537e-02,    3.5615e-03,    2.0000e+00
1.2653e-02,    3.5946e-03,    2.0000e+00
1.2771e-02,    3.6278e-03,    2.0000e+00
1.2889e-02,    3.6614e-03,    2.0000e+00
1.3008e-02,    3.6953e-03,    2.0000e+00
1.3129e-02,    3.7296e-03,    2.0000e+00
1.3250e-02,    3.7641e-03,    2.0000e+00
1.3373e-02,    3.7989e-03,    2.0000e+00
1.3497e-02,    3.8342e-03,    2.0000e+00
1.3622e-02,    3.8695e-03,    2.0000e+00
1.3748e-02,    3.9054e-03,    2.0000e+00
1.3875e-02,    3.9416e-03,    2.0000e+00
1.4003e-02,    3.9780e-03,    2.0000e+00
1.4133e-02,    4.0149e-03,    2.0000e+00
1.4264e-02,    4.0522e-03,    2.0000e+00
1.4396e-02,    4.0895e-03,    2.0000e+00
1.4529e-02,    4.1273e-03,    2.0000e+00
1.4664e-02,    4.1657e-03,    2.0000e+00
1.4800e-02,    4.2042e-03,    2.0000e+00
1.4937e-02,    4.2432e-03,    2.0000e+00
1.5075e-02,    4.2824e-03,    2.0000e+00
1.5214e-02,    4.3220e-03,    2.0000e+00
1.5355e-02,    4.3622e-03,    2.0000e+00
1.5497e-02,    4.4024e-03,    2.0000e+00
1.5641e-02,    4.4431e-03,    2.0000e+00
1.5786e-02,    4.4845e-03,    2.0000e+00
1.5932e-02,    4.5260e-03,    2.0000e+00
1.6079e-02,    4.5678e-03,    2.0000e+00
1.6228e-02,    4.6101e-03,    2.0000e+00
1.6379e-02,    4.6528e-03,    2.0000e+00
1.6530e-02,    4.6959e-03,    2.0000e+00
1.6683e-02,    4.7394e-03,    2.0000e+00
1.6838e-02,    4.7833e-03,    2.0000e+00
1.6994e-02,    4.8274e-03,    2.0000e+00
1.7151e-02,    4.8721e-03,    2.0000e+00
1.7310e-02,    4.9174e-03,    2.0000e+00
1.7470e-02,    4.9628e-03,    2.0000e+00
1.7632e-02,    5.0087e-03,    2.0000e+00
1.7795e-02,    5.0552e-03,    2.0000e+00
1.7960e-02,    5.1019e-03,    2.0000e+00
1.8126e-02,    5.1491e-03,    2.0000e+00
1.8294e-02,    5.1969e-03,    2.0000e+00
1.8463e-02,    5.2449e-03,    2.0000e+00
1.8634e-02,    5.2935e-03,    2.0000e+00
1.8807e-02,    5.3426e-03,    2.0000e+00
1.8981e-02,    5.3920e-03,    2.0000e+00
1.9157e-02,    5.4419e-03,    2.0000e+00
1.9334e-02,    5.4924e-03,    2.0000e+00
1.9513e-02,    5.5431e-03,    2.0000e+00
1.9694e-02,    5.5944e-03,    2.0000e+00
1.9876e-02,    5.6462e-03,    2.0000e+00
2.0060e-02,    5.6985e-03,    2.0000e+00
2.0246e-02,    5.7513e-03,    2.0000e+00
2.0433e-02,    5.8046e-03,    2.0000e+00
2.0622e-02,    5.8582e-03,    2.0000e+00
2.0813e-02,    5.9125e-03,    2.0000e+00
2.1006e-02,    5.9673e-03,    2.0000e+00
2.1200e-02,    6.0225e-03,    2.0000e+00
2.1397e-02,    6.0782e-03,    2.0000e+00
2.1595e-02,    6.1346e-03,    2.0000e+00
2.1795e-02,    6.1913e-03,    2.0000e+00
2.1997e-02,    6.2486e-03,    2.0000e+00
2.2200e-02,    6.3065e-03,    2.0000e+00
2.2406e-02,    6.3648e-03,    2.0000e+00
2.2613e-02,    6.4238e-03,    2.0000e+00
2.2823e-02,    6.4833e-03,    2.0000e+00
2.3034e-02,    6.5433e-03,    2.0000e+00
2.3247e-02,    6.6039e-03,    2.0000e+00
2.3462e-02,    6.6650e-03,    2.0000e+00
2.3680e-02,    6.7268e-03,    2.0000e+00
2.3899e-02,    6.7891e-03,    2.0000e+00
2.4120e-02,    6.8519e-03,    2.0000e+00
2.4344e-02,    6.9153e-03,    2.0000e+00
2.4569e-02,    6.9793e-03,    2.0000e+00
2.4796e-02,    7.0440e-03,    2.0000e+00
2.5026e-02,    7.1092e-03,    2.0000e+00
2.5258e-02,    7.1750e-03,    2.0000e+00
2.5492e-02,    7.2414e-03,    2.0000e+00
2.5728e-02,    7.3084e-03,    2.0000e+00
2.5966e-02,    7.3761e-03,    2.0000e+00
2.6206e-02,    7.4444e-03,    2.0000e+00
2.6449e-02,    7.5134e-03,    2.0000e+00
2.6694e-02,    7.5829e-03,    2.0000e+00
2.6941e-02,    7.6531e-03,    2.0000e+00
2.7190e-02,    7.7239e-03,    2.0000e+00
2.7442e-02,    7.7954e-03,    2.0000e+00
2.7696e-02,    7.8676e-03,    2.0000e+00
2.7953e-02,    7.9404e-03,    2.0000e+00
2.8211e-02,    8.0140e-03,    2.0000e+00
2.8473e-02,    8.0881e-03,    2.0000e+00
2.8736e-02,    8.1630e-03,    2.0000e+00
2.9002e-02,    8.2386e-03,    2.0000e+00
2.9271e-02,    8.3149e-03,    2.0000e+00
2.9542e-02,    8.3918e-03,    2.0000e+00
2.9815e-02,    8.4696e-03,    2.0000e+00
3.0091e-02,    8.5479e-03,    2.0000e+00
3.0370e-02,    8.6271e-03,    2.0000e+00
3.0651e-02,    8.7069e-03,    2.0000e+00
3.0935e-02,    8.7876e-03,    2.0000e+00
3.1221e-02,    8.8689e-03,    2.0000e+00
3.1510e-02,    8.9510e-03,    2.0000e+00
3.1802e-02,    9.0339e-03,    2.0000e+00
3.2097e-02,    9.1175e-03,    2.0000e+00
3.2394e-02,    9.2019e-03,    2.0000e+00
3.2694e-02,    9.2871e-03,    2.0000e+00
3.2996e-02,    9.3731e-03,    2.0000e+00
3.3302e-02,    9.4599e-03,    2.0000e+00
3.3610e-02,    9.5474e-03,    2.0000e+00
3.3921e-02,    9.6358e-03,    2.0000e+00
3.4235e-02,    9.7250e-03,    2.0000e+00
3.4552e-02,    9.8150e-03,    2.0000e+00
3.4872e-02,    9.9060e-03,    2.0000e+00
3.5195e-02,    9.9976e-03,    2.0000e+00
3.5521e-02,    1.0090e-02,    2.0000e+00
3.5850e-02,    1.0184e-02,    2.0000e+00
3.6182e-02,    1.0278e-02,    2.0000e+00
3.6517e-02,    1.0373e-02,    2.0000e+00
3.6855e-02,    1.0469e-02,    2.0000e+00
3.7196e-02,    1.0566e-02,    2.0000e+00
3.7541e-02,    1.0664e-02,    2.0000e+00
3.7888e-02,    1.0762e-02,    2.0000e+00
3.8239e-02,    1.0862e-02,    2.0000e+00
3.8593e-02,    1.0963e-02,    2.0000e+00
3.8950e-02,    1.1064e-02,    2.0000e+00
3.9311e-02,    1.1167e-02,    2.0000e+00
3.9675e-02,    1.1270e-02,    2.0000e+00
4.0042e-02,    1.1374e-02,    2.0000e+00
4.0413e-02,    1.1480e-02,    2.0000e+00
4.0787e-02,    1.1586e-02,    2.0000e+00
4.1165e-02,    1.1693e-02,    2.0000e+00
4.1546e-02,    1.1801e-02,    2.0000e+00
4.1931e-02,    1.1911e-02,    2.0000e+00
4.2319e-02,    1.2021e-02,    2.0000e+00
4.2711e-02,    1.2132e-02,    2.0000e+00
4.3106e-02,    1.2244e-02,    2.0000e+00
4.3505e-02,    1.2358e-02,    2.0000e+00
4.3908e-02,    1.2472e-02,    2.0000e+00
4.4315e-02,    1.2588e-02,    2.0000e+00
4.4725e-02,    1.2704e-02,    2.0000e+00
4.5139e-02,    1.2822e-02,    2.0000e+00
4.5557e-02,    1.2940e-02,    2.0000e+00
4.5979e-02,    1.3060e-02,    2.0000e+00
4.6404e-02,    1.3181e-02,    2.0000e+00
4.6834e-02,    1.3303e-02,    2.0000e+00
4.7268e-02,    1.3426e-02,    2.0000e+00
4.7705e-02,    1.3550e-02,    2.0000e+00
4.8147e-02,    1.3676e-02,    2.0000e+00
4.8593e-02,    1.3802e-02,    2.0000e+00
4.9043e-02,    1.3930e-02,    2.0000e+00
4.9497e-02,    1.4059e-02,    2.0000e+00
4.9955e-02,    1.4189e-02,    2.0000e+00
5.0417e-02,    1.4321e-02,    2.0000e+00
5.0884e-02,    1.4453e-02,    2.0000e+00
5.1355e-02,    1.4587e-02,    2.0000e+00
5.1831e-02,    1.4722e-02,    2.0000e+00
5.2311e-02,    1.4858e-02,    2.0000e+00
5.2795e-02,    1.4996e-02,    2.0000e+00
5.3284e-02,    1.5135e-02,    2.0000e+00
5.3777e-02,    1.5275e-02,    2.0000e+00
5.4275e-02,    1.5416e-02,    2.0000e+00
5.4778e-02,    1.5559e-02,    2.0000e+00
5.5285e-02,    1.5703e-02,    2.0000e+00
5.5797e-02,    1.5848e-02,    2.0000e+00
5.6313e-02,    1.5995e-02,    2.0000e+00
5.6835e-02,    1.6143e-02,    2.0000e+00
5.7361e-02,    1.6292e-02,    2.0000e+00
5.7892e-02,    1.6443e-02,    2.0000e+00
5.8428e-02,    1.6595e-02,    2.0000e+00
5.8969e-02,    1.6749e-02,    2.0000e+00
5.9515e-02,    1.6904e-02,    2.0000e+00
6.0066e-02,    1.7060e-02,    2.0000e+00
6.0622e-02,    1.7218e-02,    2.0000e+00
6.1183e-02,    1.7377e-02,    2.0000e+00
6.1750e-02,    1.7538e-02,    2.0000e+00
6.2322e-02,    1.7701e-02,    2.0000e+00
6.2899e-02,    1.7864e-02,    2.0000e+00
6.3481e-02,    1.8030e-02,    2.0000e+00
6.4069e-02,    1.8197e-02,    2.0000e+00
6.4662e-02,    1.8365e-02,    2.0000e+00
6.5261e-02,    1.8535e-02,    2.0000e+00
6.5865e-02,    1.8706e-02,    2.0000e+00
6.6475e-02,    1.8880e-02,    2.0000e+00
6.7090e-02,    1.9054e-02,    2.0000e+00
6.7711e-02,    1.9231e-02,    2.0000e+00
6.8338e-02,    1.9409e-02,    2.0000e+00
6.8971e-02,    1.9588e-02,    2.0000e+00
6.9610e-02,    1.9769e-02,    2.0000e+00
7.0254e-02,    1.9952e-02,    2.0000e+00
7.0904e-02,    2.0137e-02,    2.0000e+00
7.1561e-02,    2.0323e-02,    2.0000e+00
7.2224e-02,    2.0511e-02,    2.0000e+00
7.2892e-02,    2.0701e-02,    2.0000e+00
7.3567e-02,    2.0893e-02,    2.0000e+00
7.4248e-02,    2.1086e-02,    2.0000e+00
7.4936e-02,    2.1281e-02,    2.0000e+00
7.5629e-02,    2.1478e-02,    2.0000e+00
7.6330e-02,    2.1677e-02,    2.0000e+00
7.7036e-02,    2.1877e-02,    2.0000e+00
7.7750e-02,    2.2080e-02,    2.0000e+00
7.8470e-02,    2.2284e-02,    2.0000e+00
7.9196e-02,    2.2490e-02,    2.0000e+00
7.9929e-02,    2.2698e-02,    2.0000e+00
8.0669e-02,    2.2908e-02,    2.0000e+00
8.1416e-02,    2.3120e-02,    2.0000e+00
8.2170e-02,    2.3334e-02,    2.0000e+00
8.2931e-02,    2.3550e-02,    2.0000e+00
8.3699e-02,    2.3768e-02,    2.0000e+00
8.4474e-02,    2.3988e-02,    2.0000e+00
8.5256e-02,    2.4210e-02,    2.0000e+00
8.6045e-02,    2.4434e-02,    2.0000e+00
8.6842e-02,    2.4660e-02,    2.0000e+00
8.7646e-02,    2.4888e-02,    2.0000e+00
8.8457e-02,    2.5118e-02,    2.0000e+00
8.9276e-02,    2.5350e-02,    2.0000e+00
9.0103e-02,    2.5585e-02,    2.0000e+00
9.0937e-02,    2.5822e-02,    2.0000e+00
9.1779e-02,    2.6060e-02,    2.0000e+00
9.2629e-02,    2.6301e-02,    2.0000e+00
9.3486e-02,    2.6545e-02,    2.0000e+00
9.4352e-02,    2.6790e-02,    2.0000e+00
