# Force βfL, Extension z/L, Persistence Length λ
1.0029e-02,    3.3085e-03,    3.2000e+01
1.0122e-02,    3.3390e-03,    3.2000e+01
1.0216e-02,    3.3699e-03,    3.2000e+01
1.0310e-02,    3.4011e-03,    3.2000e+01
1.0406e-02,    3.4326e-03,    3.2000e+01
1.0502e-02,    3.4644e-03,    3.2000e+01
1.0599e-02,    3.4966e-03,    3.2000e+01
1.0697e-02,    3.5290e-03,    3.2000e+01
1.0796e-02,    3.5616e-03,    3.2000e+01
1.0896e-02,    3.5946e-03,    3.2000e+01
1.0997e-02,    3.6279e-03,    3.2000e+01
1.1099e-02,    3.6615e-03,    3.2000e+01
1.1202e-02,    3.6953e-03,    3.2000e+01
1.1306e-02,    3.7294e-03,    3.2000e+01
1.1410e-02,    3.7641e-03,    3.2000e+01
1.1516e-02,    3.7989e-03,    3.2000e+01
1.1623e-02,    3.8340e-03,    3.2000e+01
1.1730e-02,    3.8697e-03,    3.2000e+01
1.1839e-02,    3.9054e-03,    3.2000e+01
1.1948e-02,    3.9414e-03,    3.2000e+01
1.2059e-02,    3.9781e-03,    3.2000e+01
1.2171e-02,    4.0150e-03,    3.2000e+01
1.2283e-02,    4.0521e-03,    3.2000e+01
1.2397e-02,    4.0895e-03,    3.2000e+01
1.2512e-02,    4.1275e-03,    3.2000e+01
1.2628e-02,    4.1657e-03,    3.2000e+01
1.2745e-02,    4.2042e-03,    3.2000e+01
1.2863e-02,    4.2431e-03,    3.2000e+01
1.2982e-02,    4.2824e-03,    3.2000e+01
1.3102e-02,    4.3222e-03,    3.2000e+01
1.3223e-02,    4.3621e-03,    3.2000e+01
1.3346e-02,    4.4024e-03,    3.2000e+01
1.3469e-02,    4.4433e-03,    3.2000e+01
1.3594e-02,    4.4843e-03,    3.2000e+01
1.3720e-02,    4.5259e-03,    3.2000e+01
1.3847e-02,    4.5679e-03,    3.2000e+01
1.3975e-02,    4.6102e-03,    3.2000e+01
1.4104e-02,    4.6527e-03,    3.2000e+01
1.4235e-02,    4.6958e-03,    3.2000e+01
1.4367e-02,    4.7394e-03,    3.2000e+01
1.4500e-02,    4.7832e-03,    3.2000e+01
1.4634e-02,    4.8275e-03,    3.2000e+01
1.4769e-02,    4.8722e-03,    3.2000e+01
1.4906e-02,    4.9173e-03,    3.2000e+01
1.5044e-02,    4.9629e-03,    3.2000e+01
1.5184e-02,    5.0088e-03,    3.2000e+01
1.5324e-02,    5.0552e-03,    3.2000e+01
1.5466e-02,    5.1020e-03,    3.2000e+01
1.5609e-02,    5.1492e-03,    3.2000e+01
1.5754e-02,    5.1970e-03,    3.2000e+01
1.5900e-02,    5.2450e-03,    3.2000e+01
1.6047e-02,    5.2934e-03,    3.2000e+01
1.6195e-02,    5.3426e-03,    3.2000e+01
1.6345e-02,    5.3921e-03,    3.2000e+01
1.6497e-02,    5.4419e-03,    3.2000e+01
1.6649e-02,    5.4923e-03,    3.2000e+01
1.6804e-02,    5.5431e-03,    3.2000e+01
1.6959e-02,    5.5944e-03,    3.2000e+01
1.7116e-02,    5.6463e-03,    3.2000e+01
1.7275e-02,    5.6986e-03,    3.2000e+01
1.7435e-02,    5.7513e-03,    3.2000e+01
1.7596e-02,    5.8046e-03,    3.2000e+01
1.7759e-02,    5.8584e-03,    3.2000e+01
1.7923e-02,    5.9126e-03,    3.2000e+01
1.8089e-02,    5.9672e-03,    3.2000e+01
1.8257e-02,    6.0226e-03,    3.2000e+01
1.8426e-02,    6.0783e-03,    3.2000e+01
1.8596e-02,    6.1345e-03,    3.2000e+01
1.8769e-02,    6.1914e-03,    3.2000e+01
1.8942e-02,    6.2487e-03,    3.2000e+01
1.9118e-02,    6.3065e-03,    3.2000e+01
1.9295e-02,    6.3649e-03,    3.2000e+01
1.9473e-02,    6.4238e-03,    3.2000e+01
1.9654e-02,    6.4834e-03,    3.2000e+01
1.9836e-02,    6.5434e-03,    3.2000e+01
2.0019e-02,    6.6039e-03,    3.2000e+01
