# Force βfL, Extension z/L, Persistence Length λ
1.0133e-02,    3.3084e-03,    1.6000e+01
1.0227e-02,    3.3389e-03,    1.6000e+01
1.0322e-02,    3.3700e-03,    1.6000e+01
1.0417e-02,    3.4013e-03,    1.6000e+01
1.0514e-02,    3.4328e-03,    1.6000e+01
1.0611e-02,    3.4645e-03,    1.6000e+01
1.0709e-02,    3.4964e-03,    1.6000e+01
1.0809e-02,    3.5288e-03,    1.6000e+01
1.0909e-02,    3.5615e-03,    1.6000e+01
1.1010e-02,    3.5946e-03,    1.6000e+01
1.1112e-02,    3.6279e-03,    1.6000e+01
1.1214e-02,    3.6615e-03,    1.6000e+01
1.1318e-02,    3.6954e-03,    1.6000e+01
1.1423e-02,    3.7295e-03,    1.6000e+01
1.1529e-02,    3.7641e-03,    1.6000e+01
1.1636e-02,    3.7988e-03,    1.6000e+01
1.1743e-02,    3.8340e-03,    1.6000e+01
1.1852e-02,    3.8696e-03,    1.6000e+01
1.1962e-02,    3.9054e-03,    1.6000e+01
1.2072e-02,    3.9416e-03,    1.6000e+01
1.2184e-02,    3.9782e-03,    1.6000e+01
1.2297e-02,    4.0149e-03,    1.6000e+01
1.2411e-02,    4.0520e-03,    1.6000e+01
1.2526e-02,    4.0896e-03,    1.6000e+01
1.2642e-02,    4.1276e-03,    1.6000e+01
1.2759e-02,    4.1657e-03,    1.6000e+01
1.2877e-02,    4.2042e-03,    1.6000e+01
1.2996e-02,    4.2432e-03,    1.6000e+01
1.3117e-02,    4.2824e-03,    1.6000e+01
1.3238e-02,    4.3220e-03,    1.6000e+01
1.3361e-02,    4.3621e-03,    1.6000e+01
1.3484e-02,    4.4025e-03,    1.6000e+01
1.3609e-02,    4.4432e-03,    1.6000e+01
1.3735e-02,    4.4844e-03,    1.6000e+01
1.3862e-02,    4.5259e-03,    1.6000e+01
1.3991e-02,    4.5679e-03,    1.6000e+01
1.4120e-02,    4.6102e-03,    1.6000e+01
1.4251e-02,    4.6528e-03,    1.6000e+01
1.4383e-02,    4.6958e-03,    1.6000e+01
1.4516e-02,    4.7392e-03,    1.6000e+01
1.4650e-02,    4.7833e-03,    1.6000e+01
1.4786e-02,    4.8276e-03,    1.6000e+01
1.4923e-02,    4.8722e-03,    1.6000e+01
1.5061e-02,    4.9173e-03,    1.6000e+01
1.5201e-02,    4.9628e-03,    1.6000e+01
1.5341e-02,    5.0088e-03,    1.6000e+01
1.5483e-02,    5.0552e-03,    1.6000e+01
1.5627e-02,    5.1020e-03,    1.6000e+01
1.5771e-02,    5.1492e-03,    1.6000e+01
1.5917e-02,    5.1968e-03,    1.6000e+01
1.6065e-02,    5.2449e-03,    1.6000e+01
1.6213e-02,    5.2936e-03,    1.6000e+01
1.6364e-02,    5.3426e-03,    1.6000e+01
1.6515e-02,    5.3921e-03,    1.6000e+01
1.6668e-02,    5.4419e-03,    1.6000e+01
1.6822e-02,    5.4923e-03,    1.6000e+01
1.6978e-02,    5.5431e-03,    1.6000e+01
1.7135e-02,    5.5945e-03,    1.6000e+01
1.7294e-02,    5.6463e-03,    1.6000e+01
1.7454e-02,    5.6985e-03,    1.6000e+01
1.7616e-02,    5.7513e-03,    1.6000e+01
1.7779e-02,    5.8047e-03,    1.6000e+01
1.7943e-02,    5.8583e-03,    1.6000e+01
1.8109e-02,    5.9125e-03,    1.6000e+01
1.8277e-02,    5.9673e-03,    1.6000e+01
1.8446e-02,    6.0225e-03,    1.6000e+01
1.8617e-02,    6.0783e-03,    1.6000e+01
1.8790e-02,    6.1347e-03,    1.6000e+01
1.8964e-02,    6.1913e-03,    1.6000e+01
1.9139e-02,    6.2486e-03,    1.6000e+01
1.9316e-02,    6.3065e-03,    1.6000e+01
1.9495e-02,    6.3649e-03,    1.6000e+01
