# Force βfL, Extension z/L, Persistence Length λ
5.0462e-01,    1.0183e-02,    3.1250e-02
5.0929e-01,    1.0277e-02,    3.1250e-02
5.1400e-01,    1.0372e-02,    3.1250e-02
5.1876e-01,    1.0468e-02,    3.1250e-02
5.2357e-01,    1.0565e-02,    3.1250e-02
5.2841e-01,    1.0663e-02,    3.1250e-02
5.3331e-01,    1.0762e-02,    3.1250e-02
5.3824e-01,    1.0862e-02,    3.1250e-02
5.4323e-01,    1.0962e-02,    3.1250e-02
5.4826e-01,    1.1064e-02,    3.1250e-02
5.5333e-01,    1.1166e-02,    3.1250e-02
5.5846e-01,    1.1269e-02,    3.1250e-02
5.6363e-01,    1.1374e-02,    3.1250e-02
5.6885e-01,    1.1479e-02,    3.1250e-02
5.7411e-01,    1.1585e-02,    3.1250e-02
5.7943e-01,    1.1692e-02,    3.1250e-02
5.8479e-01,    1.1801e-02,    3.1250e-02
5.9021e-01,    1.1910e-02,    3.1250e-02
5.9567e-01,    1.2020e-02,    3.1250e-02
6.0119e-01,    1.2131e-02,    3.1250e-02
6.0675e-01,    1.2244e-02,    3.1250e-02
6.1237e-01,    1.2357e-02,    3.1250e-02
6.1804e-01,    1.2471e-02,    3.1250e-02
6.2376e-01,    1.2587e-02,    3.1250e-02
6.2954e-01,    1.2703e-02,    3.1250e-02
6.3537e-01,    1.2821e-02,    3.1250e-02
6.4125e-01,    1.2939e-02,    3.1250e-02
6.4719e-01,    1.3059e-02,    3.1250e-02
6.5318e-01,    1.3180e-02,    3.1250e-02
6.5923e-01,    1.3302e-02,    3.1250e-02
6.6533e-01,    1.3425e-02,    3.1250e-02
6.7149e-01,    1.3549e-02,    3.1250e-02
6.7771e-01,    1.3675e-02,    3.1250e-02
6.8398e-01,    1.3801e-02,    3.1250e-02
6.9031e-01,    1.3929e-02,    3.1250e-02
6.9671e-01,    1.4058e-02,    3.1250e-02
7.0316e-01,    1.4188e-02,    3.1250e-02
7.0967e-01,    1.4319e-02,    3.1250e-02
7.1624e-01,    1.4452e-02,    3.1250e-02
7.2287e-01,    1.4586e-02,    3.1250e-02
7.2956e-01,    1.4721e-02,    3.1250e-02
7.3632e-01,    1.4857e-02,    3.1250e-02
7.4313e-01,    1.4994e-02,    3.1250e-02
7.5001e-01,    1.5133e-02,    3.1250e-02
7.5696e-01,    1.5273e-02,    3.1250e-02
7.6397e-01,    1.5414e-02,    3.1250e-02
7.7104e-01,    1.5557e-02,    3.1250e-02
7.7818e-01,    1.5701e-02,    3.1250e-02
7.8538e-01,    1.5846e-02,    3.1250e-02
7.9265e-01,    1.5993e-02,    3.1250e-02
7.9999e-01,    1.6141e-02,    3.1250e-02
8.0740e-01,    1.6290e-02,    3.1250e-02
8.1488e-01,    1.6441e-02,    3.1250e-02
8.2242e-01,    1.6593e-02,    3.1250e-02
8.3004e-01,    1.6747e-02,    3.1250e-02
8.3772e-01,    1.6902e-02,    3.1250e-02
8.4548e-01,    1.7058e-02,    3.1250e-02
8.5330e-01,    1.7216e-02,    3.1250e-02
8.6120e-01,    1.7375e-02,    3.1250e-02
8.6918e-01,    1.7536e-02,    3.1250e-02
8.7723e-01,    1.7698e-02,    3.1250e-02
8.8535e-01,    1.7862e-02,    3.1250e-02
8.9355e-01,    1.8027e-02,    3.1250e-02
9.0182e-01,    1.8194e-02,    3.1250e-02
9.1017e-01,    1.8362e-02,    3.1250e-02
9.1859e-01,    1.8532e-02,    3.1250e-02
9.2710e-01,    1.8704e-02,    3.1250e-02
9.3568e-01,    1.8877e-02,    3.1250e-02
9.4435e-01,    1.9051e-02,    3.1250e-02
9.5309e-01,    1.9228e-02,    3.1250e-02
9.6191e-01,    1.9405e-02,    3.1250e-02
9.7082e-01,    1.9585e-02,    3.1250e-02
9.7981e-01,    1.9766e-02,    3.1250e-02
9.8888e-01,    1.9949e-02,    3.1250e-02
9.9804e-01,    2.0133e-02,    3.1250e-02
1.0073e+00,    2.0320e-02,    3.1250e-02
1.0166e+00,    2.0508e-02,    3.1250e-02
1.0260e+00,    2.0697e-02,    3.1250e-02
1.0355e+00,    2.0889e-02,    3.1250e-02
1.0451e+00,    2.1082e-02,    3.1250e-02
1.0548e+00,    2.1277e-02,    3.1250e-02
1.0645e+00,    2.1474e-02,    3.1250e-02
1.0744e+00,    2.1672e-02,    3.1250e-02
1.0843e+00,    2.1873e-02,    3.1250e-02
1.0944e+00,    2.2075e-02,    3.1250e-02
1.1045e+00,    2.2279e-02,    3.1250e-02
1.1147e+00,    2.2485e-02,    3.1250e-02
1.1251e+00,    2.2693e-02,    3.1250e-02
1.1355e+00,    2.2903e-02,    3.1250e-02
1.1460e+00,    2.3115e-02,    3.1250e-02
1.1566e+00,    2.3329e-02,    3.1250e-02
1.1673e+00,    2.3544e-02,    3.1250e-02
1.1781e+00,    2.3762e-02,    3.1250e-02
1.1890e+00,    2.3982e-02,    3.1250e-02
1.2000e+00,    2.4204e-02,    3.1250e-02
1.2112e+00,    2.4427e-02,    3.1250e-02
1.2224e+00,    2.4653e-02,    3.1250e-02
1.2337e+00,    2.4881e-02,    3.1250e-02
1.2451e+00,    2.5111e-02,    3.1250e-02
1.2566e+00,    2.5344e-02,    3.1250e-02
1.2683e+00,    2.5578e-02,    3.1250e-02
1.2800e+00,    2.5814e-02,    3.1250e-02
1.2919e+00,    2.6053e-02,    3.1250e-02
1.3038e+00,    2.6294e-02,    3.1250e-02
1.3159e+00,    2.6537e-02,    3.1250e-02
1.3281e+00,    2.6782e-02,    3.1250e-02
1.3404e+00,    2.7030e-02,    3.1250e-02
1.3528e+00,    2.7280e-02,    3.1250e-02
1.3653e+00,    2.7532e-02,    3.1250e-02
1.3780e+00,    2.7786e-02,    3.1250e-02
1.3907e+00,    2.8043e-02,    3.1250e-02
1.4036e+00,    2.8302e-02,    3.1250e-02
1.4166e+00,    2.8564e-02,    3.1250e-02
1.4297e+00,    2.8828e-02,    3.1250e-02
1.4429e+00,    2.9094e-02,    3.1250e-02
1.4563e+00,    2.9363e-02,    3.1250e-02
1.4698e+00,    2.9634e-02,    3.1250e-02
1.4834e+00,    2.9908e-02,    3.1250e-02
1.4971e+00,    3.0185e-02,    3.1250e-02
1.5110e+00,    3.0463e-02,    3.1250e-02
1.5250e+00,    3.0745e-02,    3.1250e-02
1.5391e+00,    3.1029e-02,    3.1250e-02
1.5533e+00,    3.1316e-02,    3.1250e-02
1.5677e+00,    3.1605e-02,    3.1250e-02
1.5822e+00,    3.1897e-02,    3.1250e-02
1.5969e+00,    3.2191e-02,    3.1250e-02
1.6117e+00,    3.2489e-02,    3.1250e-02
1.6266e+00,    3.2789e-02,    3.1250e-02
1.6417e+00,    3.3092e-02,    3.1250e-02
1.6569e+00,    3.3397e-02,    3.1250e-02
1.6722e+00,    3.3706e-02,    3.1250e-02
1.6877e+00,    3.4017e-02,    3.1250e-02
1.7033e+00,    3.4331e-02,    3.1250e-02
1.7191e+00,    3.4648e-02,    3.1250e-02
1.7350e+00,    3.4968e-02,    3.1250e-02
1.7511e+00,    3.5291e-02,    3.1250e-02
1.7673e+00,    3.5617e-02,    3.1250e-02
1.7836e+00,    3.5946e-02,    3.1250e-02
1.8001e+00,    3.6278e-02,    3.1250e-02
1.8168e+00,    3.6612e-02,    3.1250e-02
1.8336e+00,    3.6950e-02,    3.1250e-02
1.8506e+00,    3.7291e-02,    3.1250e-02
1.8677e+00,    3.7636e-02,    3.1250e-02
1.8850e+00,    3.7983e-02,    3.1250e-02
1.9025e+00,    3.8334e-02,    3.1250e-02
1.9201e+00,    3.8687e-02,    3.1250e-02
1.9379e+00,    3.9044e-02,    3.1250e-02
1.9558e+00,    3.9404e-02,    3.1250e-02
1.9739e+00,    3.9768e-02,    3.1250e-02
1.9922e+00,    4.0135e-02,    3.1250e-02
2.0107e+00,    4.0505e-02,    3.1250e-02
2.0293e+00,    4.0879e-02,    3.1250e-02
2.0481e+00,    4.1256e-02,    3.1250e-02
2.0670e+00,    4.1636e-02,    3.1250e-02
2.0862e+00,    4.2020e-02,    3.1250e-02
2.1055e+00,    4.2408e-02,    3.1250e-02
2.1250e+00,    4.2799e-02,    3.1250e-02
2.1446e+00,    4.3194e-02,    3.1250e-02
2.1645e+00,    4.3592e-02,    3.1250e-02
2.1845e+00,    4.3994e-02,    3.1250e-02
2.2048e+00,    4.4399e-02,    3.1250e-02
2.2252e+00,    4.4808e-02,    3.1250e-02
2.2458e+00,    4.5221e-02,    3.1250e-02
2.2666e+00,    4.5638e-02,    3.1250e-02
2.2876e+00,    4.6059e-02,    3.1250e-02
2.3087e+00,    4.6483e-02,    3.1250e-02
2.3301e+00,    4.6911e-02,    3.1250e-02
2.3517e+00,    4.7344e-02,    3.1250e-02
2.3735e+00,    4.7780e-02,    3.1250e-02
2.3954e+00,    4.8220e-02,    3.1250e-02
2.4176e+00,    4.8664e-02,    3.1250e-02
2.4400e+00,    4.9112e-02,    3.1250e-02
2.4626e+00,    4.9564e-02,    3.1250e-02
2.4854e+00,    5.0021e-02,    3.1250e-02
2.5084e+00,    5.0481e-02,    3.1250e-02
2.5316e+00,    5.0946e-02,    3.1250e-02
2.5551e+00,    5.1415e-02,    3.1250e-02
2.5787e+00,    5.1888e-02,    3.1250e-02
2.6026e+00,    5.2366e-02,    3.1250e-02
2.6267e+00,    5.2847e-02,    3.1250e-02
2.6510e+00,    5.3334e-02,    3.1250e-02
2.6756e+00,    5.3824e-02,    3.1250e-02
2.7003e+00,    5.4319e-02,    3.1250e-02
2.7253e+00,    5.4819e-02,    3.1250e-02
2.7506e+00,    5.5323e-02,    3.1250e-02
2.7760e+00,    5.5832e-02,    3.1250e-02
2.8017e+00,    5.6345e-02,    3.1250e-02
2.8277e+00,    5.6863e-02,    3.1250e-02
2.8539e+00,    5.7386e-02,    3.1250e-02
2.8803e+00,    5.7913e-02,    3.1250e-02
2.9069e+00,    5.8445e-02,    3.1250e-02
2.9339e+00,    5.8982e-02,    3.1250e-02
2.9610e+00,    5.9524e-02,    3.1250e-02
2.9884e+00,    6.0071e-02,    3.1250e-02
3.0161e+00,    6.0622e-02,    3.1250e-02
3.0440e+00,    6.1179e-02,    3.1250e-02
3.0722e+00,    6.1741e-02,    3.1250e-02
3.1007e+00,    6.2307e-02,    3.1250e-02
3.1294e+00,    6.2879e-02,    3.1250e-02
3.1583e+00,    6.3456e-02,    3.1250e-02
3.1876e+00,    6.4038e-02,    3.1250e-02
3.2171e+00,    6.4626e-02,    3.1250e-02
3.2469e+00,    6.5218e-02,    3.1250e-02
3.2769e+00,    6.5817e-02,    3.1250e-02
3.3073e+00,    6.6420e-02,    3.1250e-02
3.3379e+00,    6.7029e-02,    3.1250e-02
3.3688e+00,    6.7643e-02,    3.1250e-02
3.4000e+00,    6.8263e-02,    3.1250e-02
3.4315e+00,    6.8888e-02,    3.1250e-02
3.4633e+00,    6.9519e-02,    3.1250e-02
3.4953e+00,    7.0156e-02,    3.1250e-02
3.5277e+00,    7.0798e-02,    3.1250e-02
3.5603e+00,    7.1446e-02,    3.1250e-02
3.5933e+00,    7.2100e-02,    3.1250e-02
3.6266e+00,    7.2760e-02,    3.1250e-02
3.6602e+00,    7.3426e-02,    3.1250e-02
3.6940e+00,    7.4097e-02,    3.1250e-02
3.7282e+00,    7.4775e-02,    3.1250e-02
3.7628e+00,    7.5458e-02,    3.1250e-02
3.7976e+00,    7.6148e-02,    3.1250e-02
3.8328e+00,    7.6844e-02,    3.1250e-02
3.8682e+00,    7.7546e-02,    3.1250e-02
3.9041e+00,    7.8254e-02,    3.1250e-02
3.9402e+00,    7.8969e-02,    3.1250e-02
3.9767e+00,    7.9690e-02,    3.1250e-02
4.0135e+00,    8.0417e-02,    3.1250e-02
4.0507e+00,    8.1151e-02,    3.1250e-02
4.0882e+00,    8.1891e-02,    3.1250e-02
4.1260e+00,    8.2638e-02,    3.1250e-02
4.1642e+00,    8.3391e-02,    3.1250e-02
4.2028e+00,    8.4151e-02,    3.1250e-02
4.2417e+00,    8.4918e-02,    3.1250e-02
4.2810e+00,    8.5691e-02,    3.1250e-02
4.3206e+00,    8.6471e-02,    3.1250e-02
4.3606e+00,    8.7259e-02,    3.1250e-02
4.4010e+00,    8.8053e-02,    3.1250e-02
4.4417e+00,    8.8854e-02,    3.1250e-02
4.4829e+00,    8.9662e-02,    3.1250e-02
4.5244e+00,    9.0477e-02,    3.1250e-02
4.5662e+00,    9.1299e-02,    3.1250e-02
4.6085e+00,    9.2129e-02,    3.1250e-02
4.6512e+00,    9.2965e-02,    3.1250e-02
4.6943e+00,    9.3809e-02,    3.1250e-02
4.7377e+00,    9.4661e-02,    3.1250e-02
4.7816e+00,    9.5520e-02,    3.1250e-02
4.8259e+00,    9.6386e-02,    3.1250e-02
4.8705e+00,    9.7260e-02,    3.1250e-02
4.9156e+00,    9.8141e-02,    3.1250e-02
4.9611e+00,    9.9030e-02,    3.1250e-02
