# Force βfL, Extension z/L, Persistence Length λ
2.6072e-01,    1.0183e-02,    6.2500e-02
2.6313e-01,    1.0277e-02,    6.2500e-02
2.6557e-01,    1.0372e-02,    6.2500e-02
2.6803e-01,    1.0468e-02,    6.2500e-02
2.7051e-01,    1.0565e-02,    6.2500e-02
2.7301e-01,    1.0663e-02,    6.2500e-02
2.7554e-01,    1.0762e-02,    6.2500e-02
2.7809e-01,    1.0862e-02,    6.2500e-02
2.8067e-01,    1.0962e-02,    6.2500e-02
2.8327e-01,    1.1064e-02,    6.2500e-02
2.8589e-01,    1.1166e-02,    6.2500e-02
2.8854e-01,    1.1269e-02,    6.2500e-02
2.9121e-01,    1.1374e-02,    6.2500e-02
2.9390e-01,    1.1479e-02,    6.2500e-02
2.9662e-01,    1.1585e-02,    6.2500e-02
2.9937e-01,    1.1692e-02,    6.2500e-02
3.0214e-01,    1.1801e-02,    6.2500e-02
3.0494e-01,    1.1910e-02,    6.2500e-02
3.0776e-01,    1.2020e-02,    6.2500e-02
3.1061e-01,    1.2131e-02,    6.2500e-02
3.1349e-01,    1.2244e-02,    6.2500e-02
3.1639e-01,    1.2357e-02,    6.2500e-02
3.1932e-01,    1.2471e-02,    6.2500e-02
3.2228e-01,    1.2587e-02,    6.2500e-02
3.2526e-01,    1.2703e-02,    6.2500e-02
3.2827e-01,    1.2821e-02,    6.2500e-02
3.3131e-01,    1.2939e-02,    6.2500e-02
3.3438e-01,    1.3059e-02,    6.2500e-02
3.3748e-01,    1.3180e-02,    6.2500e-02
3.4060e-01,    1.3302e-02,    6.2500e-02
3.4375e-01,    1.3425e-02,    6.2500e-02
3.4694e-01,    1.3549e-02,    6.2500e-02
3.5015e-01,    1.3675e-02,    6.2500e-02
3.5339e-01,    1.3801e-02,    6.2500e-02
3.5666e-01,    1.3929e-02,    6.2500e-02
3.5996e-01,    1.4058e-02,    6.2500e-02
3.6330e-01,    1.4188e-02,    6.2500e-02
3.6666e-01,    1.4319e-02,    6.2500e-02
3.7006e-01,    1.4452e-02,    6.2500e-02
3.7348e-01,    1.4586e-02,    6.2500e-02
3.7694e-01,    1.4721e-02,    6.2500e-02
3.8043e-01,    1.4857e-02,    6.2500e-02
3.8395e-01,    1.4994e-02,    6.2500e-02
3.8751e-01,    1.5133e-02,    6.2500e-02
3.9109e-01,    1.5273e-02,    6.2500e-02
3.9472e-01,    1.5414e-02,    6.2500e-02
3.9837e-01,    1.5557e-02,    6.2500e-02
4.0206e-01,    1.5701e-02,    6.2500e-02
4.0578e-01,    1.5846e-02,    6.2500e-02
4.0954e-01,    1.5993e-02,    6.2500e-02
4.1333e-01,    1.6141e-02,    6.2500e-02
4.1716e-01,    1.6290e-02,    6.2500e-02
4.2102e-01,    1.6441e-02,    6.2500e-02
4.2492e-01,    1.6593e-02,    6.2500e-02
4.2885e-01,    1.6747e-02,    6.2500e-02
4.3282e-01,    1.6902e-02,    6.2500e-02
4.3683e-01,    1.7058e-02,    6.2500e-02
4.4087e-01,    1.7216e-02,    6.2500e-02
4.4496e-01,    1.7375e-02,    6.2500e-02
4.4908e-01,    1.7536e-02,    6.2500e-02
4.5323e-01,    1.7698e-02,    6.2500e-02
4.5743e-01,    1.7862e-02,    6.2500e-02
4.6167e-01,    1.8027e-02,    6.2500e-02
4.6594e-01,    1.8194e-02,    6.2500e-02
4.7025e-01,    1.8362e-02,    6.2500e-02
4.7461e-01,    1.8532e-02,    6.2500e-02
4.7900e-01,    1.8704e-02,    6.2500e-02
4.8344e-01,    1.8877e-02,    6.2500e-02
4.8791e-01,    1.9051e-02,    6.2500e-02
4.9243e-01,    1.9227e-02,    6.2500e-02
4.9699e-01,    1.9405e-02,    6.2500e-02
5.0159e-01,    1.9585e-02,    6.2500e-02
5.0623e-01,    1.9766e-02,    6.2500e-02
5.1092e-01,    1.9949e-02,    6.2500e-02
