# Force βfL, Extension z/L, Persistence Length λ
1.0343e-02,    3.3084e-03,    8.0000e+00
1.0439e-02,    3.3390e-03,    8.0000e+00
1.0536e-02,    3.3700e-03,    8.0000e+00
1.0633e-02,    3.4013e-03,    8.0000e+00
1.0732e-02,    3.4326e-03,    8.0000e+00
1.0831e-02,    3.4644e-03,    8.0000e+00
1.0931e-02,    3.4967e-03,    8.0000e+00
1.1032e-02,    3.5289e-03,    8.0000e+00
1.1135e-02,    3.5615e-03,    8.0000e+00
1.1238e-02,    3.5946e-03,    8.0000e+00
1.1342e-02,    3.6277e-03,    8.0000e+00
1.1447e-02,    3.6613e-03,    8.0000e+00
1.1553e-02,    3.6955e-03,    8.0000e+00
1.1660e-02,    3.7295e-03,    8.0000e+00
1.1768e-02,    3.7640e-03,    8.0000e+00
1.1877e-02,    3.7990e-03,    8.0000e+00
1.1987e-02,    3.8341e-03,    8.0000e+00
1.2098e-02,    3.8696e-03,    8.0000e+00
1.2210e-02,    3.9055e-03,    8.0000e+00
1.2323e-02,    3.9415e-03,    8.0000e+00
1.2437e-02,    3.9781e-03,    8.0000e+00
1.2552e-02,    4.0150e-03,    8.0000e+00
1.2668e-02,    4.0520e-03,    8.0000e+00
1.2785e-02,    4.0895e-03,    8.0000e+00
1.2904e-02,    4.1275e-03,    8.0000e+00
1.3023e-02,    4.1657e-03,    8.0000e+00
1.3144e-02,    4.2042e-03,    8.0000e+00
1.3266e-02,    4.2431e-03,    8.0000e+00
1.3388e-02,    4.2825e-03,    8.0000e+00
1.3512e-02,    4.3221e-03,    8.0000e+00
1.3637e-02,    4.3620e-03,    8.0000e+00
1.3764e-02,    4.4025e-03,    8.0000e+00
1.3891e-02,    4.4433e-03,    8.0000e+00
1.4020e-02,    4.4843e-03,    8.0000e+00
1.4150e-02,    4.5260e-03,    8.0000e+00
1.4281e-02,    4.5678e-03,    8.0000e+00
1.4413e-02,    4.6101e-03,    8.0000e+00
1.4546e-02,    4.6529e-03,    8.0000e+00
1.4681e-02,    4.6958e-03,    8.0000e+00
1.4817e-02,    4.7393e-03,    8.0000e+00
1.4954e-02,    4.7832e-03,    8.0000e+00
1.5092e-02,    4.8275e-03,    8.0000e+00
1.5232e-02,    4.8722e-03,    8.0000e+00
1.5373e-02,    4.9172e-03,    8.0000e+00
1.5516e-02,    4.9628e-03,    8.0000e+00
1.5659e-02,    5.0087e-03,    8.0000e+00
1.5804e-02,    5.0552e-03,    8.0000e+00
1.5950e-02,    5.1020e-03,    8.0000e+00
1.6098e-02,    5.1493e-03,    8.0000e+00
1.6247e-02,    5.1969e-03,    8.0000e+00
1.6398e-02,    5.2449e-03,    8.0000e+00
1.6549e-02,    5.2935e-03,    8.0000e+00
