# Force βfL, Extension z/L, Persistence Length λ
2.6307e-02,    3.3084e-03,    2.5000e-01
2.6551e-02,    3.3391e-03,    2.5000e-01
2.6797e-02,    3.3700e-03,    2.5000e-01
2.7045e-02,    3.4012e-03,    2.5000e-01
2.7295e-02,    3.4327e-03,    2.5000e-01
2.7548e-02,    3.4644e-03,    2.5000e-01
2.7803e-02,    3.4965e-03,    2.5000e-01
2.8060e-02,    3.5289e-03,    2.5000e-01
2.8320e-02,    3.5616e-03,    2.5000e-01
2.8582e-02,    3.5945e-03,    2.5000e-01
2.8847e-02,    3.6278e-03,    2.5000e-01
2.9114e-02,    3.6614e-03,    2.5000e-01
2.9383e-02,    3.6953e-03,    2.5000e-01
2.9656e-02,    3.7296e-03,    2.5000e-01
2.9930e-02,    3.7640e-03,    2.5000e-01
3.0207e-02,    3.7988e-03,    2.5000e-01
3.0487e-02,    3.8341e-03,    2.5000e-01
3.0769e-02,    3.8695e-03,    2.5000e-01
3.1054e-02,    3.9054e-03,    2.5000e-01
3.1342e-02,    3.9416e-03,    2.5000e-01
3.1632e-02,    3.9780e-03,    2.5000e-01
3.1925e-02,    4.0148e-03,    2.5000e-01
3.2220e-02,    4.0520e-03,    2.5000e-01
3.2519e-02,    4.0896e-03,    2.5000e-01
3.2820e-02,    4.1274e-03,    2.5000e-01
3.3123e-02,    4.1656e-03,    2.5000e-01
3.3430e-02,    4.2042e-03,    2.5000e-01
3.3740e-02,    4.2431e-03,    2.5000e-01
3.4052e-02,    4.2824e-03,    2.5000e-01
3.4367e-02,    4.3221e-03,    2.5000e-01
3.4686e-02,    4.3620e-03,    2.5000e-01
3.5007e-02,    4.4024e-03,    2.5000e-01
3.5331e-02,    4.4432e-03,    2.5000e-01
3.5658e-02,    4.4843e-03,    2.5000e-01
3.5988e-02,    4.5258e-03,    2.5000e-01
3.6321e-02,    4.5678e-03,    2.5000e-01
3.6658e-02,    4.6101e-03,    2.5000e-01
3.6997e-02,    4.6527e-03,    2.5000e-01
3.7339e-02,    4.6957e-03,    2.5000e-01
3.7685e-02,    4.7393e-03,    2.5000e-01
3.8034e-02,    4.7832e-03,    2.5000e-01
3.8386e-02,    4.8274e-03,    2.5000e-01
3.8742e-02,    4.8721e-03,    2.5000e-01
3.9100e-02,    4.9172e-03,    2.5000e-01
3.9462e-02,    4.9628e-03,    2.5000e-01
3.9828e-02,    5.0088e-03,    2.5000e-01
4.0197e-02,    5.0551e-03,    2.5000e-01
4.0569e-02,    5.1018e-03,    2.5000e-01
4.0944e-02,    5.1491e-03,    2.5000e-01
4.1323e-02,    5.1968e-03,    2.5000e-01
4.1706e-02,    5.2449e-03,    2.5000e-01
4.2092e-02,    5.2935e-03,    2.5000e-01
4.2482e-02,    5.3424e-03,    2.5000e-01
4.2875e-02,    5.3920e-03,    2.5000e-01
4.3272e-02,    5.4419e-03,    2.5000e-01
4.3673e-02,    5.4922e-03,    2.5000e-01
4.4077e-02,    5.5431e-03,    2.5000e-01
4.4485e-02,    5.5944e-03,    2.5000e-01
4.4897e-02,    5.6462e-03,    2.5000e-01
4.5313e-02,    5.6984e-03,    2.5000e-01
4.5732e-02,    5.7512e-03,    2.5000e-01
4.6156e-02,    5.8045e-03,    2.5000e-01
4.6583e-02,    5.8582e-03,    2.5000e-01
4.7014e-02,    5.9124e-03,    2.5000e-01
4.7450e-02,    5.9672e-03,    2.5000e-01
4.7889e-02,    6.0224e-03,    2.5000e-01
4.8332e-02,    6.0781e-03,    2.5000e-01
4.8780e-02,    6.1345e-03,    2.5000e-01
4.9232e-02,    6.1913e-03,    2.5000e-01
4.9687e-02,    6.2486e-03,    2.5000e-01
5.0147e-02,    6.3064e-03,    2.5000e-01
5.0612e-02,    6.3648e-03,    2.5000e-01
5.1080e-02,    6.4237e-03,    2.5000e-01
5.1553e-02,    6.4832e-03,    2.5000e-01
5.2031e-02,    6.5432e-03,    2.5000e-01
5.2512e-02,    6.6037e-03,    2.5000e-01
5.2998e-02,    6.6649e-03,    2.5000e-01
5.3489e-02,    6.7266e-03,    2.5000e-01
5.3984e-02,    6.7889e-03,    2.5000e-01
5.4484e-02,    6.8518e-03,    2.5000e-01
5.4989e-02,    6.9152e-03,    2.5000e-01
5.5498e-02,    6.9792e-03,    2.5000e-01
5.6012e-02,    7.0438e-03,    2.5000e-01
5.6530e-02,    7.1090e-03,    2.5000e-01
5.7054e-02,    7.1748e-03,    2.5000e-01
5.7582e-02,    7.2412e-03,    2.5000e-01
5.8115e-02,    7.3083e-03,    2.5000e-01
5.8653e-02,    7.3760e-03,    2.5000e-01
5.9196e-02,    7.4442e-03,    2.5000e-01
5.9744e-02,    7.5131e-03,    2.5000e-01
6.0297e-02,    7.5827e-03,    2.5000e-01
6.0856e-02,    7.6529e-03,    2.5000e-01
6.1419e-02,    7.7238e-03,    2.5000e-01
6.1988e-02,    7.7952e-03,    2.5000e-01
6.2562e-02,    7.8674e-03,    2.5000e-01
6.3141e-02,    7.9403e-03,    2.5000e-01
6.3726e-02,    8.0138e-03,    2.5000e-01
6.4316e-02,    8.0879e-03,    2.5000e-01
6.4911e-02,    8.1628e-03,    2.5000e-01
6.5512e-02,    8.2384e-03,    2.5000e-01
6.6119e-02,    8.3147e-03,    2.5000e-01
6.6731e-02,    8.3916e-03,    2.5000e-01
6.7349e-02,    8.4693e-03,    2.5000e-01
6.7972e-02,    8.5477e-03,    2.5000e-01
6.8601e-02,    8.6269e-03,    2.5000e-01
6.9237e-02,    8.7067e-03,    2.5000e-01
6.9878e-02,    8.7873e-03,    2.5000e-01
7.0525e-02,    8.8686e-03,    2.5000e-01
7.1178e-02,    8.9507e-03,    2.5000e-01
7.1837e-02,    9.0336e-03,    2.5000e-01
7.2502e-02,    9.1172e-03,    2.5000e-01
7.3173e-02,    9.2016e-03,    2.5000e-01
7.3851e-02,    9.2868e-03,    2.5000e-01
7.4534e-02,    9.3728e-03,    2.5000e-01
7.5224e-02,    9.4595e-03,    2.5000e-01
7.5921e-02,    9.5471e-03,    2.5000e-01
7.6624e-02,    9.6355e-03,    2.5000e-01
7.7333e-02,    9.7247e-03,    2.5000e-01
7.8049e-02,    9.8147e-03,    2.5000e-01
7.8772e-02,    9.9056e-03,    2.5000e-01
7.9501e-02,    9.9972e-03,    2.5000e-01
8.0237e-02,    1.0090e-02,    2.5000e-01
8.0980e-02,    1.0183e-02,    2.5000e-01
8.1730e-02,    1.0277e-02,    2.5000e-01
8.2487e-02,    1.0373e-02,    2.5000e-01
8.3250e-02,    1.0469e-02,    2.5000e-01
8.4021e-02,    1.0565e-02,    2.5000e-01
8.4799e-02,    1.0663e-02,    2.5000e-01
8.5584e-02,    1.0762e-02,    2.5000e-01
8.6377e-02,    1.0862e-02,    2.5000e-01
8.7176e-02,    1.0962e-02,    2.5000e-01
8.7983e-02,    1.1064e-02,    2.5000e-01
8.8798e-02,    1.1166e-02,    2.5000e-01
8.9620e-02,    1.1269e-02,    2.5000e-01
9.0450e-02,    1.1374e-02,    2.5000e-01
9.1287e-02,    1.1479e-02,    2.5000e-01
