# Force βfL, Extension z/L, Persistence Length λ
9.9772e-03,    3.3084e-03,    6.4000e+01
1.0070e-02,    3.3391e-03,    6.4000e+01
1.0163e-02,    3.3700e-03,    6.4000e+01
1.0257e-02,    3.4011e-03,    6.4000e+01
1.0352e-02,    3.4327e-03,    6.4000e+01
1.0448e-02,    3.4644e-03,    6.4000e+01
1.0544e-02,    3.4965e-03,    6.4000e+01
1.0642e-02,    3.5290e-03,    6.4000e+01
1.0741e-02,    3.5616e-03,    6.4000e+01
1.0840e-02,    3.5945e-03,    6.4000e+01
1.0940e-02,    3.6278e-03,    6.4000e+01
1.1042e-02,    3.6615e-03,    6.4000e+01
1.1144e-02,    3.6953e-03,    6.4000e+01
1.1247e-02,    3.7296e-03,    6.4000e+01
1.1351e-02,    3.7641e-03,    6.4000e+01
1.1456e-02,    3.7990e-03,    6.4000e+01
1.1562e-02,    3.8342e-03,    6.4000e+01
1.1669e-02,    3.8696e-03,    6.4000e+01
1.1777e-02,    3.9054e-03,    6.4000e+01
1.1887e-02,    3.9415e-03,    6.4000e+01
1.1997e-02,    3.9780e-03,    6.4000e+01
1.2108e-02,    4.0149e-03,    6.4000e+01
1.2220e-02,    4.0520e-03,    6.4000e+01
1.2333e-02,    4.0895e-03,    6.4000e+01
1.2447e-02,    4.1275e-03,    6.4000e+01
1.2562e-02,    4.1657e-03,    6.4000e+01
1.2679e-02,    4.2042e-03,    6.4000e+01
1.2796e-02,    4.2431e-03,    6.4000e+01
1.2914e-02,    4.2824e-03,    6.4000e+01
1.3034e-02,    4.3221e-03,    6.4000e+01
1.3155e-02,    4.3622e-03,    6.4000e+01
1.3277e-02,    4.4025e-03,    6.4000e+01
1.3399e-02,    4.4432e-03,    6.4000e+01
1.3524e-02,    4.4844e-03,    6.4000e+01
1.3649e-02,    4.5259e-03,    6.4000e+01
1.3775e-02,    4.5678e-03,    6.4000e+01
1.3903e-02,    4.6101e-03,    6.4000e+01
1.4031e-02,    4.6528e-03,    6.4000e+01
1.4161e-02,    4.6959e-03,    6.4000e+01
1.4292e-02,    4.7393e-03,    6.4000e+01
1.4425e-02,    4.7832e-03,    6.4000e+01
1.4558e-02,    4.8275e-03,    6.4000e+01
1.4693e-02,    4.8722e-03,    6.4000e+01
1.4829e-02,    4.9173e-03,    6.4000e+01
1.4966e-02,    4.9628e-03,    6.4000e+01
1.5105e-02,    5.0088e-03,    6.4000e+01
1.5245e-02,    5.0551e-03,    6.4000e+01
1.5386e-02,    5.1018e-03,    6.4000e+01
1.5528e-02,    5.1492e-03,    6.4000e+01
1.5672e-02,    5.1969e-03,    6.4000e+01
1.5817e-02,    5.2450e-03,    6.4000e+01
1.5964e-02,    5.2937e-03,    6.4000e+01
1.6112e-02,    5.3426e-03,    6.4000e+01
1.6261e-02,    5.3920e-03,    6.4000e+01
1.6411e-02,    5.4420e-03,    6.4000e+01
1.6563e-02,    5.4923e-03,    6.4000e+01
1.6717e-02,    5.5431e-03,    6.4000e+01
1.6871e-02,    5.5945e-03,    6.4000e+01
1.7028e-02,    5.6463e-03,    6.4000e+01
1.7185e-02,    5.6986e-03,    6.4000e+01
1.7344e-02,    5.7513e-03,    6.4000e+01
1.7505e-02,    5.8046e-03,    6.4000e+01
1.7667e-02,    5.8583e-03,    6.4000e+01
1.7831e-02,    5.9126e-03,    6.4000e+01
1.7996e-02,    5.9673e-03,    6.4000e+01
1.8162e-02,    6.0226e-03,    6.4000e+01
1.8330e-02,    6.0783e-03,    6.4000e+01
1.8500e-02,    6.1346e-03,    6.4000e+01
1.8671e-02,    6.1913e-03,    6.4000e+01
1.8844e-02,    6.2487e-03,    6.4000e+01
1.9019e-02,    6.3065e-03,    6.4000e+01
1.9195e-02,    6.3649e-03,    6.4000e+01
1.9373e-02,    6.4239e-03,    6.4000e+01
1.9552e-02,    6.4833e-03,    6.4000e+01
1.9733e-02,    6.5433e-03,    6.4000e+01
1.9916e-02,    6.6039e-03,    6.4000e+01
2.0100e-02,    6.6651e-03,    6.4000e+01
2.0286e-02,    6.7268e-03,    6.4000e+01
2.0474e-02,    6.7890e-03,    6.4000e+01
2.0664e-02,    6.8519e-03,    6.4000e+01
2.0855e-02,    6.9153e-03,    6.4000e+01
2.1048e-02,    6.9793e-03,    6.4000e+01
2.1243e-02,    7.0440e-03,    6.4000e+01
2.1439e-02,    7.1092e-03,    6.4000e+01
2.1638e-02,    7.1750e-03,    6.4000e+01
2.1838e-02,    7.2414e-03,    6.4000e+01
2.2041e-02,    7.3085e-03,    6.4000e+01
2.2245e-02,    7.3762e-03,    6.4000e+01
2.2451e-02,    7.4444e-03,    6.4000e+01
2.2658e-02,    7.5133e-03,    6.4000e+01
2.2868e-02,    7.5829e-03,    6.4000e+01
2.3080e-02,    7.6531e-03,    6.4000e+01
2.3294e-02,    7.7240e-03,    6.4000e+01
2.3509e-02,    7.7955e-03,    6.4000e+01
2.3727e-02,    7.8676e-03,    6.4000e+01
2.3947e-02,    7.9405e-03,    6.4000e+01
2.4168e-02,    8.0140e-03,    6.4000e+01
2.4392e-02,    8.0882e-03,    6.4000e+01
2.4618e-02,    8.1630e-03,    6.4000e+01
2.4846e-02,    8.2387e-03,    6.4000e+01
2.5076e-02,    8.3149e-03,    6.4000e+01
2.5308e-02,    8.3919e-03,    6.4000e+01
2.5542e-02,    8.4696e-03,    6.4000e+01
2.5779e-02,    8.5480e-03,    6.4000e+01
2.6018e-02,    8.6271e-03,    6.4000e+01
2.6258e-02,    8.7070e-03,    6.4000e+01
2.6502e-02,    8.7876e-03,    6.4000e+01
